,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
566,4,James looked for a pencil sharpener.  Where might he look first?,pencil sharpener,A. cabinet,B. library,C. nightstand,D. stationery store,E. desk drawer
567,1,"The crab was scuttling but strained when he moved, what was impeding him?",crab,A. tide pool,B. beach sand,C. tidepools,D. current,E. cooking pot
568,1,What is a place where you usually store dishes but not books?,dishes,A. apartment,B. pantry,C. table,D. living room,E. shelf
569,2,What happens to the next appointment when a grooming takes longer than expected?,grooming,A. injury,B. beauty,C. late,D. mistakes,E. annoyed
570,3,"James is very interested in other planets.  He loved the idea of going to mars, and reads books about it all the time.   He dreams of being on what?",human,A. love,B. zoo,C. school,D. space shuttle,E. library
571,0,What would you put in a container?,container,A. food,B. cargo ship,C. refrigerator,D. closet garage,E. port
572,2,"Parents often yell in times of chaos, what are they trying to do?",parents,A. guide children,B. understand children,C. control children,D. care for children,E. vent anger
573,4,Where would you stand in a line and need a coat if it is cold?,line,A. graph,B. bank at noon,C. good book,D. post office,E. bus stop
574,4,James was looking for a place to buy bitcoins.  He searched and found a large menu of what?,menu,A. advertisement,B. news,C. bar,D. cafe,E. internet sites
575,2,What is illegal to do when you play cards at a casino?,play cards,A. remember,B. help,C. count,D. winning,E. dealing
576,2,What could there be in a beauty salon?,beauty salon,A. city,B. strip mall,C. clerk,D. neighborhood,E. rooster
577,2,where do you typically find a trash can in the city?,trash can,A. park,B. motel,C. corner,D. bus stop,E. store front
578,0,Where can you store a small notepad on your person?,notepad,A. back pocket,B. meeting,C. drug store,D. home,E. school
579,3,At a state fair judging pigs requires careful what?,judging,A. verdict,B. judging,C. responsibility,D. evaluating,E. prejudice
580,2,What feeling might propel one to instituting civil action?,instituting civil action,A. complications,B. tiredness,C. anger,D. trial,E. court case
581,0,"John loves animals and he hates animal abuse.  Because of this, john is very careful about the places he goes.  Where might he avoid going?",animal,A. pet store,B. parking lot,C. woodland,D. north america,E. park
582,3,Reading a newspaper gives you a what about local current events?,reading newspaper,A. get angry,B. concern,C. worrie,D. education,E. learning about world
583,2,"The lady was doing a one man show of her tell story, when the show began she did what?",tell story,A. persuade,B. slept,C. take center stage,D. challenge,E. speak clearly
584,3,Where can you buy a fishing rod?,rod,A. furniture store,B. fishing camp,C. hardware store,D. sporting goods store,E. engine
585,1,What would you tell ali to do if he bumps into you when you are walking?,ali,A. work hard,B. slow down,C. wear shoes,D. sell products,E. speed up
586,1,"I'm watching tv because there is nothing else to do, what do I expect to get from this?",watching tv,A. erections,B. entertainment,C. boredom,D. get fat,E. sadness
587,2,Where would you store a shopping bag if all the seats in your vehicle are full?,shopping bag,A. the roof,B. storage cabinet,C. car trunk,D. retail store,E. home
588,0,What city in the middle east is known for a temple?,temple,A. jerusalem,B. texas,C. middle east,D. china,E. india
589,0,What do people do to pass time before they can use electronics when fly in airplane?,fly in airplane,A. read,B. passenger,C. land plane,D. fly the plane,E. buy tickets
590,3,After attending school for twelve years what do you do?,attending school,A. inspiration,B. much work,C. boredom,D. graduate,E. degree
591,3,"When you are expressing yourself by yelling after getting a bruise, what are you feeling?",expressing yourself,A. self pity,B. communication,C. understood,D. pain,E. embarrassment
592,0,"The helm is not something you wear on your head. Rather, it moves the masts on what?",helm,A. sailing vessel,B. paddleboat,C. ship,D. motorboat,E. tugboat
593,2,Where is a good place to sore a wind instrument in you home?,wind instrument,A. under bed,B. symphony,C. music room,D. band practice,E. music store
594,3,To what part of your home is your morning paper delivered?,paper,A. classroom,B. synagogue,C. bathroom,D. front porch,E. grocery store
595,3,What do people who are speech therapists do?,people,A. make music,B. believe in god,C. give speeches,D. complete sentences,E. build houses
596,1,"John hated mosquitoes.  It wasn't the bloodsucking that he disliked, it was that the insects made what?",insects,A. fly,B. buzz,C. move,D. honey,E. help flowers pollenate
597,1,"She curled up under a blanket to get warm, this made her what on the couch as they started movie?",get warm,A. sleep,B. feel more comfortable,C. sweating,D. blush,E. cuddle
598,4,"He found the blowfish off the coast of the Carolina's, it was where?",blowfish,A. rock band,B. sea of japan,C. sushi restaurant,D. fish market,E. atlantic ocean
599,4,"He had been doing favors for everybody at work, it was frustrating not getting any what for it?",getting,A. let down,B. respect,C. illness,D. satisfaction,E. gratitude
600,3,"The family was playing cards, what would be a reason for this?",playing cards,A. amusement,B. losing money,C. charmed,D. having fun,E. win money
601,0,What does moving cars entail?,moving car,A. driving,B. road,C. getting tired,D. accidents,E. ticket
602,3,What area is likely to contain a large village?,village,A. rural area,B. big city,C. suburbs,D. ohio,E. countryside
603,0,What did the business require of everyone walking into their store?,everyone,A. wear shoes,B. learn,C. hope for peace,D. have a great day.,E. do well
604,2,"The woman experienced great joy, but despite that this was a what?",joy,A. misery,B. sadness,C. bad time,D. sorrow,E. play time
605,4,Where would you find a binder containing homework assignments?,binder,A. backpack,B. bookcase,C. office supply store,D. office,E. class room
606,3,"Shane was supposed to speak at his fathers funeral.  He was a clown, and acted very ridiculous.  This cheerfulness turned off people who expected the funeral to be what?",ridiculous,A. solemn,B. compete,C. serious,D. somber,E. straightforward
607,3,"The college kids weren't known for their apartment decor choices, they used a folding chair inside their what?",folding chair,A. bathroom,B. closet,C. school,D. room,E. church
608,3,The department store is located in the Northwest USA.  Where might it be?,department store,A. new york,B. big city,C. town,D. idaho,E. shopping mall
609,1,"If you see blinking lights in the air at night, what are you usually looking at?",lights,A. carnival,B. plane,C. concert,D. turned at night,E. a penguin's bum
610,1,When a monkey is taken away from their home they are often brought to this place where people wear white coats.,monkey,A. rain forest,B. research laboratory,C. cage,D. treetops,E. south africa
611,2,What could you put a table in if you want the table to be in your house?,table,A. library,B. demonstration,C. corner,D. football ground,E. rug
612,4,John is studying animals.   What is one of the many things he has to watch them doing?,animals,A. bathe,B. bite,C. die of cancer,D. obesity,E. copulate
613,0,Sarah thought that she had been home all evening.  That meant that the only time to leave was when?,evening,A. early morning,B. day time,C. night,D. afternoon,E. daytime
614,1,Where did the person have to walk downstairs to get the tool?,tool,A. hardware store,B. basement,C. garage,D. repair shop,E. the library.
615,4,James was cooking s stew in his apartment kitchen.  Where might he look for a potato.,potato,A. restaurants,B. casserole,C. root cellar,D. pockets,E. pantry
616,0,What do only some types of police do?,police,A. direct traffic,B. board vessels,C. arm themselves,D. help people,E. find drugs
617,3,"The child really wanted to teach his grandpa to read, he thought it was wrong that he had spent his whole life what?",read,A. ignore,B. write,C. learn new things,D. illiterate,E. having fun
618,4,Where do people traditionally get information about the world?,information,A. book,B. meeting,C. television,D. guide,E. newspaper
619,4,"The sun was out and the temperature changing rapidly, it was really beginning to what?",temperature,A. drop to zero,B. increase,C. cool down,D. dropping quickly,E. heat up
620,0,She'd sooner just spray herself with water than the what she didn't like the smell of?,water,A. perfume,B. air,C. fountain,D. swamp,E. puddle
621,1,What would a person expect if they are competent in their school work?,person,A. compliments,B. passing grade,C. intellectual challenge,D. sticker,E. avoid pain
622,4,"Lizards need the sun's heat to regulate their body temperature, this is why you'll see them still on what?",lizard,A. bushes,B. dessert,C. books,D. heat lamps,E. rocks
623,4,Where did his wife ask him to look first when he complained of missing deodorant?,deodorant,A. grocery store,B. nightstand,C. armpits,D. own bathroom,E. medicine chest
624,1,What would a person do if he or she wanted to get good grades?,person,A. feel proud,B. try to learn,C. need assistance,D. thank god,E. read alot
625,2,There weren't enough chairs for everyone.  What might have to be delayed?,chairs,A. bookstore,B. building,C. meeting,D. office,E. coffeehouse
626,3,Where does a shadow usually appear?,shadow,A. suface of moon,B. building,C. bridge,D. ground,E. bright light
627,4,When we are thankful for getting something what do we do?,getting,A. say thank,B. smile,C. looking for,D. get more,E. show appreciation
628,4,What can happen in your mind while sleeping?,sleeping,A. snoring,B. talking,C. get cold,D. nothing,E. might dream
629,3,What preposition do you use if you want to combine two words?,preposition,A. article,B. adjective,C. interjection,D. conjunction,E. pronoun
630,3,George ruined the surprise.  How did he do so?,surprise,A. hiding,B. accidentally,C. expectation,D. knowingly,E. planned
631,2,"Some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?",changing society,A. riots,B. vote,C. change yourself,D. social activism,E. change clothes
632,0,"If I take my heifer out East, where's a place we might end up?",heifer,A. new hampshire,B. dairy farm,C. farm field,D. texas,E. county fair
633,0,Where in your home would you store birth control pills near your toothpaste?,birth control pill,A. medicine cabinet,B. chemist's shop,C. kitchen,D. drug store,E. bedroom
634,2,Where do fish spend the majority of their time?,fish,A. body of water,B. lake superior,C. underwater,D. toilet,E. aquarium
635,4,"What would form on your feet, if you were jogging all day?",jogging,A. heart attacks,B. hole in your socks,C. exhaustion,D. shortness of breath,E. blisters
636,2,Water is an important ingredient in what sugary beverage?,water,A. mountain dew,B. glass,C. soft drink,D. whirlpool bath,E. coffee cup
637,2,Where should you find a school in?,school,A. residential neighborhood,B. mosque,C. every city,D. prague,E. community
638,2,"She a deep love for all her friends, every Friday she had an open invitation for them as she loved to host and what?",love,A. wait for,B. eat out,C. entertain,D. please parents,E. paint
639,4,What were southern institutions where slaves do the labor called?,slave,A. farm,B. ancient rome,C. history book,D. poor countries,E. plantation
640,1,What divider stores papers for work or school?,divider,A. street,B. binder,C. obesity,D. living room,E. office suite
641,0,Where is a notebook often purchased?,notebook,A. bookstore,B. backpack,C. abraham lincoln's grave,D. desktop,E. classroom
642,0,"The circus monkey waived a white surrender flag, the conductor joked the monkey must work in the what?",monkey,A. french government,B. friend's house,C. zoo,D. south africa,E. madagascar
643,4,If you're afraid of spiders what should you avoid owning?,spiders,A. meadow,B. cupboard,C. shed,D. mail box,E. cellar
644,3,Where would one find a captive monkey?,monkey,A. rain forest,B. tree tops,C. toy store,D. zoological gardens,E. great outdoors
645,1,If you are driving too fast on an icy road you are being what?,driving,A. deadly,B. dangerous,C. unconcerned,D. stressful,E. harder when weather bad
646,4,Who said ignorance was not an excuse for the crime?,ignorance,A. learn about subject,B. learn new,C. find truth,D. is bliss,E. judge
647,2,A yard is made up of what?,yard,A. city,B. michigan,C. three feet,D. subdivision,E. three arm span
648,0,If someone is outgoing what are they likely to seek?,person,A. new experiences,B. playfulness,C. own house,D. good looking,E. beautiful
649,0,What has happened to a person's money after he or she has used the last of it?,last,A. dissipate,B. flown,C. disintegrate,D. fall apart,E. penultimate
650,1,Where is the strategic gold reserve in the U.S.?,gold,A. jewelery,B. fort knox,C. church,D. jewelry store,E. treasure chest
651,2,What is a parents primary duty?,parents,A. speak freely,B. happiness of a child,C. care for children,D. school child,E. control children
652,2,What sport is the audience the loudest at?,audience,A. show,B. theatre,C. hockey game,D. movies,E. event
653,4,Where can you find a place to eat and places to buy items of many different kinds?,place to eat,A. city,B. downtown,C. own house,D. bar,E. shopping center
654,3,"If electrical equipment won't power on, what connection should be checked?",connection,A. company,B. telephone netwok,C. airport,D. wires,E. freeway
655,2,If children get confused walking home where may they go?,children,A. play chess,B. sun themselves,C. wrong house,D. set table,E. gettable
656,4,A government seeks what over it's people?,government,A. country,B. trouble,C. city,D. sun,E. control
657,1,"If I recieve a letter from a friend over seas, why might I read it?",reading letter,A. pudding,B. get news,C. strain,D. answer,E. though
658,0,Where above your kitchen sink could you store canned food?,canned food,A. cupboard,B. oven,C. grocery store,D. pantry,E. cellar
659,3,"The graveyard was important to build, where should it be built?",graveyard,A. arlington,B. church property,C. out back,D. every town,E. cemetery
660,0,"The people wanted to take the scenic route, they chose the highway that cut through the what?",highway,A. countryside,B. united states,C. beach,D. atlas,E. developed land
661,2,Where would you see a performer at a gathering of you friends?,performer,A. cinema,B. opera,C. party,D. stage,E. dance
662,4,Where is a road known as a motorway?,motorway,A. scotland,B. europe,C. race track,D. new jersey,E. england
663,0,What is the opposite of hosting a crowd?,crowd,A. few people,B. pay debts,C. individual,D. single person,E. small group
664,2,You are seeking to provide yourself what when you're applying for a job?,applying for job,A. work,B. employment,C. income,D. hope,E. offer
665,3,He called bull when his friend said a bull can be what?,bull,A. feeble,B. bullbleep,C. cow,D. female,E. charging prey
666,3,How might compassionate thoughful be described as being?,people,A. disengenious,B. human,C. weird,D. kind,E. stupid
667,3,What could fighting inflation cause if it is not successful?,fighting inflation,A. problems,B. not noticeable,C. deflation,D. economic instability,E. eat cake
668,1,"They took a break from all the rides to have lunch, while eating hamburger they talked about how they were going to what on the next ride?",eating hamburger,A. heartburn,B. have fun,C. enjoy,D. gas,E. food poisoning
669,2,James drove his niece to her father.  Where did he drive?,niece,A. great granddad's house,B. family picture book,C. brother's house,D. family tree,E. family reunion
670,2,The teachers needed to get their classrooms ready for the school year.  What is one thing they might do?,teachers,A. talk too much,B. teach children,C. open boxes,D. answering questions,E. giving homework
671,3,"We do not have rest, so how are we feeling?",have rest,A. exhausted,B. lonely,C. worked all day,D. were very tired,E. feel better
672,1,Where can you purchase food and eat it at tables?,tables,A. house,B. fast food restaurant,C. library,D. conference,E. paper
673,1,What could you buy in a bookstore?,bookstore,A. carpeting,B. magazines,C. strip mall,D. city,E. applesauce
674,3,If you socialize by having trivial conversations it is called what?,socialize,A. make friends,B. mingle,C. meet people,D. small talk,E. meet new people
675,1,"The kids had been having fun all day, there was now a what?",having fun,A. wild ride,B. need for rest,C. a massive bear,D. playing marbles,E. constructing
676,2,Sarah took poison by accident She found it in the cabinet and. thought that it was what?,poison,A. drinkable,B. junk food,C. medicine,D. antidote,E. nutrient
677,4,"Some stores trick women to buy products, the sales make it seem like if you buy more you what?",buy products,A. get money,B. pay money,C. go shopping,D. lose money,E. save money
678,0,"If a person is seeing new things, what do they most often feel?",seeing new,A. curiosity,B. excitement,C. boredom,D. wonder,E. fear
679,2,A strong laxative will help you keep what kind of bowel movements?,strong,A. strongwoman,B. cake,C. regular,D. weak,E. fragile
680,4,Where would there be a connection to go to another place?,connection,A. wires,B. electrical circuit,C. computer network,D. wall,E. freeway
681,0,What does god want people to do for money?,god,A. work in life,B. speak to people,C. everywhere,D. sitting ideal,E. care for people
682,0,What part of the body are lips on?,lip,A. mouth,B. jars and all faces,C. kentucky fried chicken,D. hand,E. human
683,0,Where would you carry a pen as you go through your day?,pen,A. pocket,B. office supply store,C. friend's house,D. desk drawer,E. city hall
684,2,What white meat goes well with potatos?,potato,A. kitchen cupboard,B. maryland,C. chicken,D. tuna,E. pantry
685,2,What is the result of instituting civil action?,instituting civil action,A. bad feelings,B. confusion,C. going to court,D. hurt feelings,E. sandwiches
686,4,If you hit someone while driving what could happen to that person?,driving,A. deaths,B. get arrested,C. moving,D. using gas,E. may die
687,1,Why do people engage in chatting with friends in class?,chatting with friends,A. necessity,B. answers,C. inspiration,D. love,E. fun
688,0,Where would a human expect to find manufacturing operations?,human,A. factory,B. school,C. grocery store,D. band,E. aircraft
689,1,"The man didn't like getting out of bed and stepping on the cold tile, so where did he put carpeting?",carpeting,A. houses,B. bedroom,C. istanbul,D. open tress,E. gym
690,3,You'd add pepper and salt to what liquid meal if it's bland?,pepper and salt,A. supermarket,B. water,C. cellars,D. soup,E. grocery store
691,1,How can you get the attention of a person across the room?,person,A. board ship,B. shout at,C. smile at,D. cross street,E. feel happy
692,1,Where can you get a stray small dog?,small dog,A. living room,B. animal shelter,C. georgia,D. pet shop,E. dog show
693,3,What is something that you feel when you go to the opera?,going to opera,A. fall asleep,B. headache,C. boredom,D. relaxation,E. sick
694,3,What do people want to do when they love a place that they are going on vacation in?,going on vacation,A. pleasant thoughts,B. overspending,C. moving there,D. staying there,E. debt
695,3,"A shark swam in the background aquarium as the card players sat emotionless, what were they playing?",shark,A. sea world,B. court room,C. shallow waters,D. poker game,E. card shark
696,2,Where can someone purchase a contraceptive device without a prescription?,contraceptive device,A. pharmacy,B. person,C. drugstore,D. bedroom,E. mcdonalds
697,1,Where would you find a desk normally occupied by a young person?,desk,A. office building,B. schoolroom,C. library,D. bedroom,E. gym
698,2,Where can you buy socks and jeans?,jeans,A. washing machine,B. laundromat,C. clothing store,D. closet,E. shopping mall
699,1,Where did the compassionate farmer allow the heifer to reside during her last days?,heifer,A. cattle ranch,B. countryside,C. grocery store,D. slaughterhouse,E. dairy farm
700,2,"Where would people be looking at some things which can move, but are not moving?",people,A. football stadium,B. surface of earth,C. car show,D. opera,E. movie
701,2,People celebrate by going places and riding rides.  What's one obvious place people might go to celebrate?,people,A. state park,B. opera,C. disneyland,D. carnival,E. park
702,2,"The shark was migrating between continents, where did biologists find it?",shark,A. fresh water,B. gulf of mexico,C. open ocean,D. television program,E. coral reef
703,4,Lilly owns the only kosher deli in the area.  She isn't in a heavily populated area.  Where might she live?,kosher deli,A. food court,B. jerusalem,C. new york city,D. jewish community,E. town
704,3,Where do  you park in the parking lot with shopping bags?,parking lot,A. amusement park,B. urban area,C. airport,D. shopping malls,E. train station
705,3,"Stopping being married to one another was a costly task, the lawyers and their what were astronomical?",stopping being married to,A. free time,B. pleasure,C. get divorced,D. legal fees,E. being lonely
706,3,What does one chop us a grape for?,grape,A. fresh fruit,B. wine press,C. fruit basket,D. fruit cocktail,E. picnic basket
707,0,What is a place that could have tens of thousands of fiddle?,fiddle,A. tennessee,B. band practice,C. orchestra,D. violin case,E. music store
708,1,James used the cannon to shoot at something while seeking lunch. It was overkill.  What did he shoot at?,cannon,A. body armor,B. ungulate,C. bomber,D. kill people,E. animal
709,4,What will happen if you are successful when committing suicide?,committing suicide,A. scars,B. being born,C. sorrow,D. misery,E. kill yourself
710,4,James was a student who had a report that is due tomorrow.  Where might he spend most of his time today?,student,A. university,B. college class,C. class room,D. classroom,E. library
711,1,Where could you find many theater?,theater,A. school,B. populated area,C. military base,D. opera,E. church
712,0,"His running escape didn't last long once he tripped, perhaps he should've thought to what?",running,A. tie shoelace,B. rest,C. tiredness,D. run longer,E. sit down
713,0,A school is most likely to be located in what sort of zone?,school,A. residential neighborhood,B. community,C. building,D. prague,E. every city
714,3,James went to the best steakhouse outside of the South.  Where is James?,steakhouse,A. dairy farm,B. texas,C. building,D. michigan,E. florida
715,3,"If I wanted to thank someone for saying I have done a good job, what would I do?",thank,A. smile,B. shake hands,C. express gratitude,D. say you're welcome,E. appreciate compliment
716,4,"The window of the Honda was hit from the inside, not the outside. Where was most of the the broken glass found?",broken glass,A. bridge,B. in spain,C. beach,D. field,E. street
717,4,What happens to people when they do not have enough food?,people,A. eat fish,B. they steal,C. talk to each other,D. write stories,E. die of starvation
718,3,Utensils are used during what evening activity?,utensils,A. backpack,B. closet,C. drawer,D. dinner,E. cupboard
719,0,Where can you learn about operations with numbers?,number,A. math book,B. phonebook,C. statistic,D. music school,E. office
720,2,What creatures performing pollination are loved my millions?,performing,A. birds,B. action,C. butterflies,D. happiness,E. anxiety
721,1,What is a common sign that someone is lying?,lying,A. ordering dog food online,B. avoid eye contact,C. feel guilty,D. fall asleep,E. blush
722,1,"The friends loved competing against one another, it was a good way to work their what?",competing,A. friendship,B. aggression,C. defeat,D. winning or losing,E. sweat
723,1,"james loved the stars.  In the wilderness, they lit up what?",stars,A. outer space,B. night sky,C. universe,D. orbit,E. the ground
724,1,Deciding to watch tv or play with your cell phone might be a routine but they provide no help in being able to do what?,watch tv,A. have tv,B. fall asleep,C. learn,D. sitting,E. dancing
725,1,"Everybody has a little bit of creativity, but only a few lucky ones get to do what for a living?",creativity,A. sew,B. create art,C. express yourself,D. sing and dance,E. write
726,4,What type of water transportation is human powered?,human,A. turn away,B. let down,C. have to sleep,D. run,E. row boat
727,1,What could someone be doing while performing that cannot be enjoyed by deaf people?,performing,A. smile,B. singing,C. sweat,D. act,E. dance
728,4,If you're standing in line and the line isn't moving what might you feel?,standing in line,A. order,B. queueing up,C. wait turn,D. fatigue,E. anger
729,0,Bob is in a dressing room.  He's putting on waterproof trunks and goggles.  What sort of facility is he most likely visiting?,dressing room,A. swimming pool,B. actors and actresses,C. fancy restaurant.,D. gym,E. theatre
730,3,What do customers do in a store?,customers,A. hunt,B. pay merchants with money,C. mail orders,D. spend money,E. demand satisfaction
731,2,"There are many cubicles in the office, they all have computers for employees to what?",computers,A. teach,B. cost money,C. do work,D. be productive,E. help people
732,4,"If I wanted to store dirt in my home, where could I put it?",dirt,A. fingernails,B. garden,C. corner,D. computer,E. closet
733,3,"He was selling all his collector items even the rare plate, he had bought a lot at the what for the weekend?",plate,A. supermarket,B. kitchen cupboard,C. table,D. flea market,E. dishwasher
734,0,What is a fast but expensive way to send small cargo?,cargo,A. airplane,B. ship's hold,C. boat,D. truck,E. train
735,4,"The star had 4 rocky planets and 4 gaseous planets orbiting it, what was it part of",star,A. hollywood,B. night sky,C. constellation,D. aliens,E. solar system
736,3,I need a person to milk a cow would a volunteer do this?,person,A. cross street,B. milk cow,C. lose weight,D. step forward,E. need food
737,2,Food must be freeze dried before it is taken on what vehicle?,food,A. fairgrounds,B. friend's house,C. space shuttle,D. oven,E. microwave
738,3,What is a useful activity when experiencing loneliness?,loneliness,A. meet people,B. meet friend,C. make people laugh,D. socialize,E. liquor
739,3,"His day at the office was nearing an end, he went to the start menu on his computer to do what?",computer,A. run programs,B. play games,C. control model,D. power down,E. reason exists
740,2,"If a person wants to buy a radio, where are they likely to go?",radio,A. station,B. every car and house,C. shop,D. bedroom,E. space shuttle
741,2,What does someone chatting with friends do when they hear a joke?,chatting with friends,A. giggle,B. lie,C. laughing,D. chuckle,E. smoke
742,0,Where might someone find old clothing?,clothing,A. trunk,B. drawer,C. suitcase,D. book shelf,E. washing machine
743,3,"If something is obtuse, what couldn't it be?",obtuse,A. bright,B. pointed,C. correct,D. acute angled,E. clear
744,2,Learning usually leads to greater what?,learning,A. get to know,B. gain knowledge,C. intelligence,D. education,E. gaining knowledge
745,0,"The artist knew that this was the peak of his fandom, so he decided it was time for cashing in by doing what?",cashing in,A. selling out,B. happy,C. fishing,D. receiving money,E. getting paid
746,0,Sam didn't like the people he met while traveling.  What might he do to get away from them?,people,A. come home,B. airplane,C. learn from each other,D. go out,E. make art
747,3,"The children saw superman fly overhead, what did they exclaim as a result?",children,A. ouch,B. skip,C. enjoyed,D. awesome,E. watch television
748,2,Illegitimate designer handbags will not have a certificate of what?,illegitimate,A. actions,B. legal,C. authentic,D. logical,E. legitimate
749,2,What state shaped like a glove has a lot of farmland?,farmland,A. countryside,B. farming areas,C. michigan,D. texas,E. north dakota
750,1,What office furniture stores paper files?,files,A. drawer,B. filing cabinet,C. computers,D. desk,E. filing cabinet
751,1,Where should an excavation never take place?,excavation,A. construction site,B. cemetary,C. building,D. city,E. archeological site
752,0,Where can I find a steakhouse with a view of corn fields?,steak house,A. nebraska,B. new york,C. mexico,D. home,E. utah
753,1,If you harm property after starting a fire where are you likely to end up?,starting fire,A. damage,B. going to jail,C. going to school,D. burns,E. destruction
754,1,Having your marijuana in bags help keep it what?,marijuana,A. entertainment,B. neat,C. happy,D. intoxicating,E. illegal
755,2,What kind of place could have thousands of statue?,statue,A. church,B. theatre,C. large city,D. water fountain,E. central park
756,1,"Everybody seemed to have a horse not just the regular gamblers, which event always brings out the biggest crowds to the sport?",horse,A. race track,B. kentucky derby,C. american southwest,D. triple crown,E. horse derby
757,3,"A person is alone in the woods and wounded, what should he do?",person,A. amount to nothing,B. visit relatives,C. charming,D. doctor himself,E. cross street
758,3,Why would a company be going public?,going public,A. revealing information,B. being ridiculed,C. problems,D. more funding,E. telling all
759,2,"The human looked down longingly as he sat in the orbiting space station, what did he miss?",human,A. nearest house,B. workplace,C. surface of earth,D. office block,E. his feet
760,4,How can a person end up stopping standing in  puddle?,stopping standing in,A. move away from,B. laying in,C. sweating,D. movement,E. walking out of
761,2,What  might john order at an indian resturant on top of the space needle?,indian restaurant,A. large city,B. seattle,C. curry,D. clothing,E. reservation
762,1,What eastern state is home to a mountain?,mountain,A. switzerland,B. pennsylvania,C. picture,D. asia,E. austria
763,4,Sam left his muddy shoes in the entryway.  Where might he be?,entryway,A. department store,B. school,C. garden,D. office building,E. house
764,0,What would a person do if he or she just woke up?,person,A. drink tea,B. thank god,C. open eyes,D. feel angry,E. complete sentence
765,2,He curled up and tried to fall on his shoulder so his arm or what wouldn't take the hit?,shoulder,A. leg,B. garment,C. torso,D. body,E. road
766,3,"If I need deodorant, where do I go to but some?",deodorant,A. medicine cabinet,B. medicine chest,C. armpits,D. grocery store,E. kitchen
767,0,Why might a person take a vacation?,person,A. relaxation,B. good things in life,C. admiration,D. own house,E. needs money
768,3,What are people playing when they want to take the lead with small papers?,lead,A. very heavy,B. video game,C. news article,D. card game,E. lead pencil
769,0,Where can you buy a hairbrush along with bandages?,hairbrush,A. drugstore,B. hospital,C. bedroom,D. car,E. house
770,1,Who sits at the center table at a receeption?,reception,A. restorand,B. wedding party,C. church basement,D. corridor,E. restaurant
771,1,"The clothing was extremely expensive compared to other places, where was it likely purchased?",clothing,A. cinema hall,B. mall,C. department store,D. closet,E. shop
772,4,What do you fill with ink to print?,ink,A. squid,B. pencil,C. newspaper,D. fountain pen,E. printer
773,3,Where would a restaurant put a candle?,candle,A. dimly lit room,B. kitchen,C. wall,D. table,E. birthday cake
774,0,What is KFC who serves chicken?,chicken,A. fast food restaurant,B. plate,C. bowl,D. freezer,E. oven
775,2,John didn't enjoy procreating.  He had a hangup.  He didn't like to be what?,procreating,A. orgasm,B. cum,C. naked,D. in bed,E. wearing his birthday suit
776,3,Where does a marmoset not usually go?,marmoset,A. dictionary,B. wilderness,C. fly,D. underground,E. colorado
777,0,What is a child likely to do while going to play?,going to play,A. laugh,B. sit,C. happiness,D. being entertained,E. walk slowly
778,3,What prevents someone from getting sleep at night?,sleep at night,A. relax,B. dreams,C. have nightmares,D. restlessness,E. snore
779,2,Reaching advantage position in a competitin puts me in what position as compared to others?,reaching advantage,A. determination,B. upper hand,C. superior,D. higher position,E. skill
780,1,"I wanted  a side chair for people to visit me while I worked, where did I have it put?",side chair,A. building,B. office,C. library,D. table,E. bathtub
781,1,where do you store wine?,wine,A. attic,B. basement,C. art show,D. church,E. bar
782,3,John spent too much money buying products for his swollen testicles.  He did so because he was feeling what?,buying products,A. pleasure,B. delight,C. bankruptcy,D. agony,E. owning
783,4,"People always talked childlike to him, even though his disability was physical and didn't affect his what?",disability,A. strength,B. brain,C. potential,D. qualification,E. competence
784,2,What is the biggest speech in the capital?,capital,A. each state,B. gettysburg address,C. state of union,D. each country,E. europe
785,2,A person with children might have a lot of plastic things in what place?,plastic,A. cupboard,B. cabinet,C. own home,D. everything,E. garbage dump
786,0,What do people look for when competing against someone?,competing against,A. edge,B. desire to win,C. friendship,D. rivalry,E. skill
787,1,"The swimming pool couln't be refilled due to drought regulations, where was it located?",swimming pool,A. ymca,B. california,C. park,D. first floor,E. school
788,2,What is a person likely to feel when they are abandoned by everyone after they stop being married to someone else?,stopping being married to,A. grief,B. solo,C. isolation,D. pleasure,E. happiness
789,2,"A bride and groom are taking care of proposals, what is the likely ceremony?",taking care of proposals,A. efficiency,B. getting work done,C. marriage,D. finishing up,E. results
790,3,Three quarters of what are covered by the ocean?,ocean,A. waterfalls,B. underwater,C. beach,D. surface of earth,E. river
791,3,Why would a person be approached by a lot of people?,person,A. care about,B. compliments,C. know all,D. popularity,E. understand themselves
792,1,"She had a knack for entertaining, everybody told he she had a what?",entertaining,A. fun,B. talent,C. learn about,D. intelligence,E. recognize
793,1,Where would someone be likely to store a double edge razor?,double edged razor,A. pocket,B. shower,C. chemist,D. drug store,E. shaving kit
794,3,"When people want to watch a new move, the often go see it at the?",people,A. town,B. conference,C. bathroom,D. theater,E. train station
795,3,What might a satisfied person do?,person,A. board ship,B. grocery shop,C. cross street,D. feel happy,E. shout at
796,3,"Dave put his beer where he could get to it, but it would be off the floor.  Where did he put it?",beer,A. refrigerator,B. closet,C. can,D. shelf,E. soccer game
797,4,Eating breakfast with a large family leads to a pile of what in the sink?,eating breakfast,A. fullness,B. underwear,C. bad breath,D. better day,E. dirty dishes
