,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
215,['entailment'],3490789179.jpg#0,entailment,3490789179.jpg#0r3e,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),A cart is full of items.,( ( A cart ) ( ( is ( full ( of items ) ) ) . ) ),(ROOT (S (NP (DT A) (NN cart)) (VP (VBZ is) (ADJP (JJ full) (PP (IN of) (NP (NNS items))))) (. .)))
216,['contradiction'],3490789179.jpg#0,contradiction,3490789179.jpg#0r4c,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),A man is sleeping under a bench.,( ( A man ) ( ( is ( sleeping ( under ( a bench ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG sleeping) (PP (IN under) (NP (DT a) (NN bench))))) (. .)))
217,['entailment'],3490789179.jpg#0,entailment,3490789179.jpg#0r2e,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),A man watches another man.,( ( A man ) ( ( watches ( another man ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ watches) (NP (DT another) (NN man))) (. .)))
218,['neutral'],3490789179.jpg#0,neutral,3490789179.jpg#0r2n,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),A produce vendor is watched by a health department worker.,( ( A ( produce vendor ) ) ( ( is ( watched ( by ( a ( health ( department worker ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN produce) (NN vendor)) (VP (VBZ is) (VP (VBN watched) (PP (IN by) (NP (DT a) (NN health) (NN department) (NN worker))))) (. .)))
219,['entailment'],3490789179.jpg#0,entailment,3490789179.jpg#0r1e,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),"Someone is on top of a cart full of items, while someone else observes.","( Someone ( ( ( ( is ( on ( top ( of ( ( a cart ) ( full ( of items ) ) ) ) ) ) ) , ) ( while ( ( someone else ) observes ) ) ) . ) )","(ROOT (S (NP (NN Someone)) (VP (VBZ is) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (NN cart)) (PP (JJ full) (IN of) (NP (NNS items))))))) (, ,) (SBAR (IN while) (S (NP (NN someone) (RB else)) (VP (VBZ observes))))) (. .)))"
220,['contradiction'],3490789179.jpg#0,contradiction,3490789179.jpg#0r3c,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),The man is watching a woman.,( ( The man ) ( ( is ( watching ( a woman ) ) ) . ) ),(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (VP (VBG watching) (NP (DT a) (NN woman)))) (. .)))
221,['neutral'],3490789179.jpg#0,neutral,3490789179.jpg#0r1n,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),A merchant and his assistant are trying to determine how many products are in their cart.,( ( ( ( A merchant ) and ) ( his assistant ) ) ( ( are ( trying ( to ( determine ( ( how many ) ( products ( are ( in ( their cart ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN merchant)) (CC and) (NP (PRP$ his) (NN assistant))) (VP (VBP are) (VP (VBG trying) (S (VP (TO to) (VP (VB determine) (SBAR (WHADJP (WRB how) (JJ many)) (S (NP (NNS products)) (VP (VBP are) (PP (IN in) (NP (PRP$ their) (NN cart))))))))))) (. .)))
222,['neutral'],3490789179.jpg#0,neutral,3490789179.jpg#0r5n,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),The cart is full of coal.,( ( The cart ) ( ( is ( full ( of coal ) ) ) . ) ),(ROOT (S (NP (DT The) (NN cart)) (VP (VBZ is) (ADJP (JJ full) (PP (IN of) (NP (NN coal))))) (. .)))
223,['entailment'],3490789179.jpg#0,entailment,3490789179.jpg#0r4e,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),A man is standing on top of a cart.,( ( A man ) ( ( is ( standing ( on ( top ( of ( a cart ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (DT a) (NN cart))))))) (. .)))
224,['entailment'],3490789179.jpg#0,entailment,3490789179.jpg#0r5e,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),The cart is filled to the top.,( ( The cart ) ( ( is ( filled ( to ( the top ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN cart)) (VP (VBZ is) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))) (. .)))
225,['neutral'],3490789179.jpg#0,neutral,3490789179.jpg#0r3n,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),The men are outside.,( ( The men ) ( ( are outside ) . ) ),(ROOT (S (NP (DT The) (NNS men)) (VP (VBP are) (ADJP (JJ outside))) (. .)))
226,['contradiction'],3490789179.jpg#0,contradiction,3490789179.jpg#0r2c,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),A man eats octopus.,( ( A man ) ( ( eats octopus ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ eats) (NP (NNS octopus))) (. .)))
227,['neutral'],3490789179.jpg#0,neutral,3490789179.jpg#0r4n,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,( ( ( A man ) ( with ( a ( red shirt ) ) ) ) ( ( is ( watching ( ( another man ) ( who ( is ( standing ( on ( top ( of ( ( a ( attached cart ) ) ( filled ( to ( the top ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (JJ red) (NN shirt)))) (VP (VBZ is) (VP (VBG watching) (NP (NP (DT another) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT a) (JJ attached) (NN cart)) (VP (VBN filled) (PP (TO to) (NP (DT the) (NN top))))))))))))))) (. .))),A man is standing on a cart full of groceries.,( ( A man ) ( ( is ( standing ( on ( ( a cart ) ( full ( of groceries ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN on) (NP (NP (DT a) (NN cart)) (PP (JJ full) (IN of) (NP (NNS groceries))))))) (. .)))
228,['entailment'],4850814517.jpg#3,entailment,4850814517.jpg#3r1e,A boy is drinking out of a water fountain shaped like a woman.,( ( A boy ) ( ( is ( ( drinking out ) ( of ( ( a ( water fountain ) ) ( shaped ( like ( a woman ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN boy)) (VP (VBZ is) (VP (VBG drinking) (PRT (RP out)) (PP (IN of) (NP (NP (DT a) (NN water) (NN fountain)) (VP (VBN shaped) (PP (IN like) (NP (DT a) (NN woman)))))))) (. .))),A male is getting a drink of water.,( ( A male ) ( ( is ( getting ( ( a drink ) ( of water ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN male)) (VP (VBZ is) (VP (VBG getting) (NP (NP (DT a) (NN drink)) (PP (IN of) (NP (NN water)))))) (. .)))
229,['neutral'],4850814517.jpg#3,neutral,4850814517.jpg#3r1n,A boy is drinking out of a water fountain shaped like a woman.,( ( A boy ) ( ( is ( ( drinking out ) ( of ( ( a ( water fountain ) ) ( shaped ( like ( a woman ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN boy)) (VP (VBZ is) (VP (VBG drinking) (PRT (RP out)) (PP (IN of) (NP (NP (DT a) (NN water) (NN fountain)) (VP (VBN shaped) (PP (IN like) (NP (DT a) (NN woman)))))))) (. .))),A sculptor takes a drink from a fountain that he made that looks like his girlfriend.,( ( A sculptor ) ( ( ( ( takes ( a drink ) ) ( from ( a fountain ) ) ) ( that ( he ( made ( that ( looks ( like ( his girlfriend ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN sculptor)) (VP (VBZ takes) (NP (DT a) (NN drink)) (PP (IN from) (NP (DT a) (NN fountain))) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD made) (SBAR (S (NP (DT that)) (VP (VBZ looks) (PP (IN like) (NP (PRP$ his) (NN girlfriend)))))))))) (. .)))
230,['contradiction'],4850814517.jpg#3,contradiction,4850814517.jpg#3r1c,A boy is drinking out of a water fountain shaped like a woman.,( ( A boy ) ( ( is ( ( drinking out ) ( of ( ( a ( water fountain ) ) ( shaped ( like ( a woman ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN boy)) (VP (VBZ is) (VP (VBG drinking) (PRT (RP out)) (PP (IN of) (NP (NP (DT a) (NN water) (NN fountain)) (VP (VBN shaped) (PP (IN like) (NP (DT a) (NN woman)))))))) (. .))),A man is drinking lemonade from a glass.,( ( A man ) ( ( is ( ( drinking lemonade ) ( from ( a glass ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG drinking) (NP (NN lemonade)) (PP (IN from) (NP (DT a) (NN glass))))) (. .)))
231,['neutral'],1148238960.jpg#4,neutral,1148238960.jpg#4r4n,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),cars stop in town,( cars ( stop ( in town ) ) ),(ROOT (S (NP (NNS cars)) (ADJP (VB stop) (PP (IN in) (NP (NN town))))))
232,['entailment'],1148238960.jpg#4,entailment,1148238960.jpg#4r4e,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),Bikers stop in towns,( Bikers ( stop ( in towns ) ) ),(ROOT (S (NP (NNS Bikers)) (ADJP (VB stop) (PP (IN in) (NP (NNS towns))))))
233,['entailment'],1148238960.jpg#4,entailment,1148238960.jpg#4r1e,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),A town has witnessed the arrival of three bikers.,( ( A town ) ( ( has ( witnessed ( ( the arrival ) ( of ( three bikers ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN town)) (VP (VBZ has) (VP (VBN witnessed) (NP (NP (DT the) (NN arrival)) (PP (IN of) (NP (CD three) (NNS bikers)))))) (. .)))
234,['neutral'],1148238960.jpg#4,neutral,1148238960.jpg#4r5n,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),Thoes bikers are slowing down,( ( Thoes bikers ) ( are ( slowing down ) ) ),(ROOT (S (NP (NNS Thoes) (NNS bikers)) (VP (VBP are) (VP (VBG slowing) (PRT (RP down))))))
235,['neutral'],1148238960.jpg#4,neutral,1148238960.jpg#4r1n,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),The bikers are riding Harley's.,( ( The bikers ) ( ( are ( riding ( Harley 's ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS bikers)) (VP (VBP are) (VP (VBG riding) (S (NP (NNP Harley) (POS 's))))) (. .)))
236,['contradiction'],1148238960.jpg#4,contradiction,1148238960.jpg#4r5c,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),Three bikers are going 100 mph,( ( Three bikers ) ( are ( going ( 100 mph ) ) ) ),(ROOT (S (NP (CD Three) (NNS bikers)) (VP (VBP are) (VP (VBG going) (NP (CD 100) (NN mph))))))
237,['contradiction'],1148238960.jpg#4,contradiction,1148238960.jpg#4r4c,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),The bikers breathe water,( ( The bikers ) ( breathe water ) ),(ROOT (NP (NP (DT The) (NNS bikers)) (NP (JJ breathe) (NN water))))
238,['entailment'],1148238960.jpg#4,entailment,1148238960.jpg#4r5e,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),Bikers stop for gas,( Bikers ( stop ( for gas ) ) ),(ROOT (S (NP (NNS Bikers)) (ADJP (VB stop) (PP (IN for) (NP (NN gas))))))
239,['neutral'],1148238960.jpg#4,neutral,1148238960.jpg#4r2n,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),Three bicyclists are riding in a pack.,( ( Three bicyclists ) ( ( are ( riding ( in ( a pack ) ) ) ) . ) ),(ROOT (S (NP (CD Three) (NNS bicyclists)) (VP (VBP are) (VP (VBG riding) (PP (IN in) (NP (DT a) (NN pack))))) (. .)))
240,['contradiction'],1148238960.jpg#4,contradiction,1148238960.jpg#4r2c,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),There is a very angry dog.,( There ( ( is ( a ( ( very angry ) dog ) ) ) . ) ),(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (DT a) (ADJP (RB very) (JJ angry)) (NN dog))) (. .)))
241,['neutral'],1148238960.jpg#4,neutral,1148238960.jpg#4r3n,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),Three bikers are taking a rest in the town.,( ( Three bikers ) ( ( are ( taking ( ( a rest ) ( in ( the town ) ) ) ) ) . ) ),(ROOT (S (NP (CD Three) (NNS bikers)) (VP (VBP are) (VP (VBG taking) (NP (NP (DT a) (NN rest)) (PP (IN in) (NP (DT the) (NN town)))))) (. .)))
242,['entailment'],1148238960.jpg#4,entailment,1148238960.jpg#4r3e,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),The bikers are in the town.,( ( The bikers ) ( ( are ( in ( the town ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS bikers)) (VP (VBP are) (PP (IN in) (NP (DT the) (NN town)))) (. .)))
243,['entailment'],1148238960.jpg#4,entailment,1148238960.jpg#4r2e,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),A group of bikers are in the street.,( ( ( A group ) ( of bikers ) ) ( ( are ( in ( the street ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS bikers)))) (VP (VBP are) (PP (IN in) (NP (DT the) (NN street)))) (. .)))
244,['contradiction'],1148238960.jpg#4,contradiction,1148238960.jpg#4r1c,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),The bikers didn't stop in the town.,( ( The bikers ) ( ( ( did n't ) ( stop ( in ( the town ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS bikers)) (VP (VBD did) (RB n't) (VP (VB stop) (PP (IN in) (NP (DT the) (NN town))))) (. .)))
245,['contradiction'],1148238960.jpg#4,contradiction,1148238960.jpg#4r3c,three bikers stop in town.,( ( three bikers ) ( ( stop ( in town ) ) . ) ),(ROOT (S (NP (CD three) (NNS bikers)) (VP (VBP stop) (PP (IN in) (NP (NN town)))) (. .))),Five bikers are riding on the road.,( ( Five bikers ) ( ( are ( riding ( on ( the road ) ) ) ) . ) ),(ROOT (S (NP (CD Five) (NNS bikers)) (VP (VBP are) (VP (VBG riding) (PP (IN on) (NP (DT the) (NN road))))) (. .)))
246,['contradiction'],3490789179.jpg#4,contradiction,3490789179.jpg#4r1c,Two people loading brush on a trailer attached to a truck.,( ( ( Two people ) ( ( loading brush ) ( on ( a trailer ) ) ) ) ( ( attached ( to ( a truck ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (NNS people)) (VP (VBG loading) (NP (NN brush)) (PP (IN on) (NP (DT a) (NN trailer))))) (VP (VBN attached) (PP (TO to) (NP (DT a) (NN truck)))) (. .))),A man is carrying a canoe to the water.,( ( A man ) ( ( is ( ( carrying ( a canoe ) ) ( to ( the water ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG carrying) (NP (DT a) (NN canoe)) (PP (TO to) (NP (DT the) (NN water))))) (. .)))
247,['entailment'],3490789179.jpg#4,entailment,3490789179.jpg#4r1e,Two people loading brush on a trailer attached to a truck.,( ( ( Two people ) ( ( loading brush ) ( on ( a trailer ) ) ) ) ( ( attached ( to ( a truck ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (NNS people)) (VP (VBG loading) (NP (NN brush)) (PP (IN on) (NP (DT a) (NN trailer))))) (VP (VBN attached) (PP (TO to) (NP (DT a) (NN truck)))) (. .))),A couple of people are loading brush onto a trailer that is attached to a truck.,( ( ( A couple ) ( of people ) ) ( ( are ( ( loading brush ) ( onto ( ( a trailer ) ( that ( is ( attached ( to ( a truck ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN couple)) (PP (IN of) (NP (NNS people)))) (VP (VBP are) (VP (VBG loading) (NP (NN brush)) (PP (IN onto) (NP (NP (DT a) (NN trailer)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (VP (VBN attached) (PP (TO to) (NP (DT a) (NN truck))))))))))) (. .)))
248,['neutral'],3490789179.jpg#4,neutral,3490789179.jpg#4r1n,Two people loading brush on a trailer attached to a truck.,( ( ( Two people ) ( ( loading brush ) ( on ( a trailer ) ) ) ) ( ( attached ( to ( a truck ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (NNS people)) (VP (VBG loading) (NP (NN brush)) (PP (IN on) (NP (DT a) (NN trailer))))) (VP (VBN attached) (PP (TO to) (NP (DT a) (NN truck)))) (. .))),Two people loading brush on a trailer attached to a truck so they can go camping and burn it.,( ( ( Two people ) ( ( loading brush ) ( on ( a trailer ) ) ) ) ( ( ( attached ( to ( a truck ) ) ) ( so ( they ( can ( ( ( go camping ) and ) ( burn it ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (NNS people)) (VP (VBG loading) (NP (NN brush)) (PP (IN on) (NP (DT a) (NN trailer))))) (VP (VBD attached) (PP (TO to) (NP (DT a) (NN truck))) (SBAR (IN so) (S (NP (PRP they)) (VP (MD can) (VP (VP (VB go) (NP (NN camping))) (CC and) (VP (VB burn) (NP (PRP it)))))))) (. .)))
