,Unnamed: 0,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
2202,2202,3,"The police were well liked and respected, it was easier for them to interact with the community since it was a small what?",police,A. direct traffic,B. give tickets,C. donut shop,D. town,E. wrong place
1389,1389,1,Where might a motionless horse be?,horse,A. washington,B. painting,C. race track,D. safari,E. farmyard
2581,2581,3,What is a country that is known for a high population of beaver?,beaver,A. woodlands,B. rivers,C. ontario,D. canada,E. zoo
320,320,1,"There's a lot to reproducing, but it begins and end with new life by giving what?",reproducing,A. overpopulation,B. birth,C. presents,D. propagation,E. fun
2742,2742,2,What do people who are composers do?,people,A. believe in god,B. beat each other,C. make music,D. build houses,E. complete sentences
2523,2523,4,What country might a crab live in?,crab,A. fish market,B. underpants,C. fishing boat,D. maine,E. seychelles
4574,4574,1,Where would works be on the wall?,wall,A. house or other building,B. art show,C. prison,D. classroom,E. labyrinth
1189,1189,0,"His favorite general store had most things, and if it didn't it was conveniently located with other shops in the what?",general store,A. shopping mall,B. barn,C. salt,D. old west,E. checkers
797,797,4,Eating breakfast with a large family leads to a pile of what in the sink?,eating breakfast,A. fullness,B. underwear,C. bad breath,D. better day,E. dirty dishes
468,468,1,A musician is most likely to perform a concerto for clarinet with what type of group?,clarinet,A. music store,B. orchestra,C. jazz band,D. rock band,E. music studio
1346,1346,2,People are genetically most likely to have this on top of their head?,people,A. horns,B. two eyes,C. brown hair,D. drug problem,E. feelings
1398,1398,1,Why would a person stay in a relationship with  a man?,person,A. acknowledgment,B. good lover,C. mercy,D. make others happy,E. low crime
2425,2425,2,What is the ping sent from a spam blog called?,spam,A. ham,B. splurp,C. sping,D. splog,E. blam
1912,1912,0,What castle is built upon Castle Rock in Scotland?,castle,A. edinburgh,B. london,C. capturing pawn,D. germany,E. europe
587,587,2,Where would you store a shopping bag if all the seats in your vehicle are full?,shopping bag,A. the roof,B. storage cabinet,C. car trunk,D. retail store,E. home
240,240,2,If done correctly grooming pet's nails generally does not cause this?,grooming,A. training,B. satisfaction,C. injury,D. beauty,E. late
1330,1330,0,Crabs crawl along the bottom of what?,crab,A. bodies of water,B. fish market,C. aquarium,D. saltwater,E. galapagos
852,852,1,"To gain her trust the real estate agent was very polite, delightful and all around what?",real estate agent,A. manipulate,B. charming,C. deceive,D. exaggerate,E. incompetent
1974,1974,1,When you're getting drunk and stumbling what might you be feeling?,getting drunk,A. stumbling,B. nausea,C. fights,D. death,E. your head hit the ground
621,621,1,What would a person expect if they are competent in their school work?,person,A. compliments,B. passing grade,C. intellectual challenge,D. sticker,E. avoid pain
1092,1092,2,What might two people have before returning to work?,returning to work,A. anxiety,B. earn money,C. conversation,D. depression,E. fight
1602,1602,3,"All the students had to gather for the announcement, as it wrapped up the students began to what?",gather,A. spread,B. park,C. disseminate,D. disperse,E. dispense
356,356,0,"If I am suffering from boredom, and I want to do something with a dictionary, what would help?",boredom,A. do crossword puzzle,B. see art,C. give up,D. grocery shop,E. play chess
2492,2492,0,When you go to buy a sheep you will learn that it is what?,sheep,A. expensive,B. wolf,C. wool,D. goat,E. lamb
254,254,3,Where is a good place to get a ball?,ball,A. kitchen,B. child's hand,C. street,D. toy store,E. soccer game
3634,3634,0,What is the fastest way to combat being cold?,being cold,A. light fire,B. drinks up,C. chop firewood,D. make patchwork quilt,E. get warm
1292,1292,3,The woman spent her evenings working hard for herself. What did she do with her tasks?,person,A. headache,B. popularity,C. take rest,D. accomplish goals,E. get laid
1300,1300,2,"The teacher's pet loved answering questions, each correct answer brought her more what than the last?",answering questions,A. hate,B. confusion,C. satisfaction,D. teaching,E. panic
2232,2232,2,What might a good person experience after killing someone?,killing,A. michigan,B. dies,C. feeling of guilt,D. being imprisoned,E. bloody mess
2392,2392,3,There are hundreds of bars and eateries in what east coast metropolis?,bar,A. jail,B. michigan,C. nightclub,D. new york city,E. restaurant
3544,3544,3,"When someone is deeply involved while they watch a film, the film must be very?",watch film,A. ike director,B. have fun,C. see what happens,D. interesting,E. pass time
1941,1941,2,"She was really hoping for queen so she could win, what was she involved with?",queen,A. play,B. castle,C. deck of cards,D. monarchy,E. beehive
2154,2154,0,"The text made no sense, it was just a random what?",text,A. sequence of words,B. book,C. hatred,D. fade,E. analyzing
4579,4579,0,"If you're releasing energy through running, what will you likely find on your skin?",releasing energy,A. sweat,B. movement,C. exercising,D. sex,E. moist
4196,4196,2,What do people in a family typically do on the holidays?,people,A. get angry,B. talk to each other,C. gather together,D. run a race,E. facing each other
1988,1988,1,Where might a ficus be at the entrance?,ficus,A. arboretum,B. public building,C. wet places,D. great outdoors,E. home
4085,4085,2,What does a person use to smell things?,person,A. hair,B. do dishes,C. nose,D. headache,E. eat food to live
996,996,2,Where do you buy a glass of wine?,wine,A. art show,B. basement,C. bar,D. church,E. basement
770,770,1,Who sits at the center table at a receeption?,reception,A. restorand,B. wedding party,C. church basement,D. corridor,E. restaurant
655,655,2,If children get confused walking home where may they go?,children,A. play chess,B. sun themselves,C. wrong house,D. set table,E. gettable
1670,1670,1,Sally's boss told her to stop playing.  She was being very loud.  What was she playing?,stop,A. telegram,B. organ,C. telegraph,D. motor,E. chess
4050,4050,1,Many people have a mailbox where near the road?,mailbox,A. downtown area,B. front yard,C. porch,D. basement,E. hardware store
4204,4204,1,Water is used as a mirror when designing a what?,water,A. pool,B. reflecting pool,C. fish tank,D. ocean,E. sewage treatment plant
3462,3462,1,"A condom is a form of contraceptive for a penis, meanwhile a diaphragm is one designed for a what?",contraceptive,A. drawer,B. vagina,C. arm,D. health center,E. medicine cabinet
625,625,2,There weren't enough chairs for everyone.  What might have to be delayed?,chairs,A. bookstore,B. building,C. meeting,D. office,E. coffeehouse
4462,4462,1,What kind of playing game could result in you winning?,playing game,A. having fun,B. competition,C. entertain,D. checkers,E. injury
1138,1138,3,"If you lock your knees while standing in line, what may you experience?",standing in line,A. boredom,B. order,C. main,D. fainting,E. agitation
3916,3916,0,The bulky man enjoyed to eat hamburger or anything else high in what?,eat hamburger,A. protein,B. crack,C. cook one,D. satisfy hunger,E. good to eat
3885,3885,4,What has an accelerator and is owned by most people?,accelerator,A. vehical,B. fuel system,C. accelerate,D. airplane,E. car
789,789,2,"A bride and groom are taking care of proposals, what is the likely ceremony?",taking care of proposals,A. efficiency,B. getting work done,C. marriage,D. finishing up,E. results
2861,2861,1,What can be done with a product on a table?,table,A. apartment,B. demonstration,C. tablecloth,D. dining room,E. furniture store
2800,2800,4,What could snoring cause in rare cases?,snoring,A. complaining,B. an upset partner,C. disturbed sleep,D. loud noise,E. death
89,89,1,What group of musicians will include someone playing the cello?,cello,A. ocean,B. symphony,C. band,D. music store,E. music shop
4555,4555,4,Thrill seeking people who love competition might be found in one of these?,people,A. learn from each other,B. fight each other,C. fear death,D. a taxi cab,E. race cars
4237,4237,3,"The committee had more responsibility, they were a fast growing what?",committee,A. doughnut shop,B. church,C. office building,D. business,E. government
4359,4359,3,A ferret would probably growl if it is in what kind of state?,ferret,A. outdoors,B. pair of trousers,C. confusion,D. bad mood,E. classroom
1856,1856,2,"A judge was on his bench serving justice, what was his most important principle?",serve justice,A. honest,B. lawyre,C. fair,D. arranging files,E. tell truth
4481,4481,0,Where can someone buy a fresh potato?,potato,A. farmer's market,B. deep sea,C. bushel basket,D. ireland,E. grocery bag
2344,2344,2,"The man was watching TV instead of talking to his wife, what is he avoiding?",watching tv,A. get fat,B. entertainment,C. arguments,D. wasting time,E. quality time
2079,2079,1,A ruler is likely to hold court where?,court,A. public building,B. palace,C. city,D. conference room,E. gymnasium
650,650,1,Where is the strategic gold reserve in the U.S.?,gold,A. jewelery,B. fort knox,C. church,D. jewelry store,E. treasure chest
3340,3340,4,What can you do in your house during the winter?,winter,A. ski,B. skate,C. play hockey,D. blaze it,E. knit
467,467,3,Why would professionals playing sports not be able to compete?,playing sports,A. pain,B. mudslide,C. sweating,D. injuries,E. rain
1710,1710,4,"He was suffering from boredom, the security guard would let him grind his favorite spot on his what?",boredom,A. meet interesting people,B. listen to music,C. deck,D. play cards,E. skateboard
664,664,2,You are seeking to provide yourself what when you're applying for a job?,applying for job,A. work,B. employment,C. income,D. hope,E. offer
1022,1022,0,Where can a grain of sand cause a person a lot of pain and possible damage sight?,grain of sand,A. eye,B. clam,C. bathing suit,D. shoes,E. beach
1221,1221,3,What does a person who is considered good known for?,person,A. compliments,B. green thumb,C. ride horses,D. contribution to society,E. wear outrageous clothing
2872,2872,3,"The athlete was competing in a race and saw the finish line, what did he feel as a result?",competing,A. strength,B. increased effort,C. vain thoughts,D. adrenaline rush,E. winning or losing
3019,3019,1,What can be used to carry a small dog?,small dog,A. swimming pool,B. basket,C. dog show,D. backyard,E. own home
516,516,3,Where is a ferret getting lots of attention likely to be found?,ferret,A. trouser leg,B. sick bay,C. own home,D. petting zoo,E. mother's hair
586,586,1,"I'm watching tv because there is nothing else to do, what do I expect to get from this?",watching tv,A. erections,B. entertainment,C. boredom,D. get fat,E. sadness
4879,4879,1,How do you usually rest when you are laying down in a bed?,rest,A. in motion,B. sleeping,C. using energy,D. action,E. rapidly
3387,3387,1,"Performing at her sales job was tiring, no matter how she felt she had to put on a big what?",performing,A. persona,B. smile,C. laugh,D. act,E. singing
4413,4413,2,What mammal has a diaphragm?,diaphragm,A. homunculus,B. drugstore,C. human,D. woman's body,E. person's chest
1446,1446,3,What might an unsuccessful writing program cause?,writing program,A. unexpected results,B. bugs,C. satisfaction,D. frustration,E. aggrevation
1011,1011,0,What emotion does committing murder induce?,committing murder,A. fear,B. go to jail,C. problems,D. cruel,E. dead
1721,1721,3,Bill's horse escaped it's paddock and ran away to some place it could be free. Where might it have gone?,horse,A. canada,B. circus,C. movies,D. countryside,E. parade
2447,2447,0,"The lizard was certainly out of its element in the bustling capital of San Jose, where was the lizard?",lizard,A. costa rica,B. captivity,C. encyclopedia,D. new mexico,E. imagination land
4612,4612,3,where are people likely to be joyous?,people,A. convention,B. supermarket,C. theater,D. wedding,E. church
3764,3764,4,Where could you find more than a few bald eagle?,bald eagle,A. the park,B. in washington,C. eagle's nest,D. aerie,E. western north america
1918,1918,0,Using addictive drugs is a bad what?,bad,A. choice,B. luck,C. worthy,D. excellent,E. upright
3502,3502,3,"The weasel was scavenging in the cold winter on a farmer's land, where was he likely?",weasel,A. fairytale,B. mountain,C. great outdoors,D. corn fields,E. chicken coop
129,129,2,What could listening to music cause you to be?,listening to music,A. happy,B. smile,C. calm,D. entertainment,E. relaxation
2137,2137,3,"People wanted to get to their destination quickly, what did they invent?",people,A. confession,B. toilets,C. national park,D. vehicles,E. supermarket
3839,3839,2,"The alley cats were all beginning to gather together, but one loud crash sent them all what?",gather,A. disburse,B. charming,C. scattering,D. spread,E. dispense
427,427,1,What happens when humans are exposed to noises?,humans,A. pet the dog,B. hear sounds,C. have sex,D. reproduce,E. drive cars
3825,3825,1,On what continent would you find a lemur?,lemur,A. hole,B. australia,C. cage,D. wilderness,E. forrest
1724,1724,1,"The aging rockstar had to finally stop playing guitar, his hands just wouldn't cooperate because of the what?",playing guitar,A. singing,B. arthritis,C. listening to music,D. making music,E. playing music
3003,3003,4,"I was creating art while angry, what did my painting convey inadvertently?",creating art,A. work of art,B. feeling of accomplishment,C. making love,D. pleasure,E. strong emotion
4417,4417,2,Air conditioning makes summers more comfortable in what work spaces?,air conditioning,A. house,B. car,C. offices,D. movie theatre,E. cold rooms
41,41,3,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",free,A. costly,B. captive,C. contained,D. paying,E. caught
2640,2640,4,"If you're enjoying a contralto, what event are you attending?",contralto,A. fun,B. choir,C. describe singing voice,D. chorus,E. concert
3542,3542,0,What can you do before taking final exams to help with them?,taking final exams,A. study,B. sweat,C. graduation,D. cheat,E. sleep
1382,1382,3,"The dairy cow farm was special, it provided all the milk for the big chocolate company from where?",cow,A. ranch,B. tennessee,C. barnyard,D. switzerland,E. antarctica
2709,2709,0,Where did the group of in crowd guys throw their big party on campus?,party,A. fraternity house,B. neigborhood,C. ce ebrating mothers birthday,D. home,E. friend's house
3444,3444,0,"Billy loved grapes and other similar foods, so for his birthday his friends bought him one of these.  What did they buy him?",grape,A. fruit basket,B. field,C. winery,D. bowl of fruit,E. kitchen
1839,1839,0,Where can you take home a hermit crab?,crab,A. pet shop,B. fishmongers,C. intertidal zone,D. tidepools,E. ocean
3826,3826,1,"The child wanted to test electricity, so what did he feel as a result?",electricity,A. cause fire,B. shock,C. short fuse,D. kill if used improperly,E. produce heat
968,968,0,"The print was extremely small, as he was reading letter after letter he began to suffer eye what?",reading letter,A. strain,B. though,C. happiness,D. realization,E. understanding
894,894,2,"The doctor recommended washing hands, what was being promoted?",washing hands,A. cold hands,B. wet floor,C. health,D. become wet,E. dry skin
191,191,1,Glass that hasn't been treated to be extra strong is what?,strong,A. weak,B. fragile,C. forceless,D. regular,E. flimsy
4063,4063,4,"The passing sentence was one of guilty, now the defendant was cuffed and had to what?",passing sentence,A. innocents,B. anger,C. judgement,D. death,E. go to jail
3791,3791,0,What would you see if there were different types of flowers near you?,flowers,A. many colors,B. smell good,C. cover fields,D. smell bad,E. continue to grow
296,296,4,Where are floors kept clean for holy purposes?,floor,A. restaurant,B. basement,C. all buildings,D. carpet,E. synagogue
1612,1612,1,"How might we get so far up into the air around Earth, we cannot be seen?",air,A. balloon,B. space shuttle,C. supermarket,D. house,E. rocket
2925,2925,4,"Like all mammals, cats smell with what?",cat,A. eyes,B. four legs,C. litter of kittens,D. tail,E. nose
226,226,3,What could a balalaika be needed for?,balalaika,A. artist junkyard,B. music store,C. singing,D. symphony,E. orchestra
4704,4704,4,"He was trying to contemplate the formula, as it came to him he filled out the whats?",contemplate,A. math,B. think of,C. become distracted,D. wonder,E. answers
3611,3611,3,"He played the bass fiddle professionally, but for his baby he used it to play a fun simple what?",bass fiddle,A. music,B. jazz band,C. orchestra,D. nursery rhyme,E. music store
1543,1543,4,What does a person do at the end of the day?,person,A. make money,B. cross street,C. sleep,D. draw attention to themselves,E. come home
910,910,3,Where can you get in shape and drink at a juice bar?,juice,A. fridge,B. limejuice,C. square,D. gym,E. refrigerator
4280,4280,0,One reason to keep going to work is what?,going to work,A. promotions,B. stress,C. bad mood,D. for a party,E. exhaustion
3929,3929,3,James was sitting quietly because I was having trouble doing something.  What was he not doing easily?,sitting quietly,A. discomfort,B. anxiety,C. solitude,D. falling asleep,E. play games
2373,2373,3,What type of building is a bank?,bank,A. main street,B. secure place,C. pool of currency,D. financial center,E. grocery store
3653,3653,3,"Today was a big day at the trade show, he was finally going to show off his product to the public and give a what?",product,A. store,B. shelf,C. market,D. demonstration,E. dance
2765,2765,4,Where might a conductor have a hard time seeing ahead due to darkness?,conductor,A. lead orchestra,B. orchestra,C. lead play,D. opera,E. subway
2183,2183,2,Where can you find a revolving door at a location you spend the night?,revolving door,A. new york,B. apartment,C. hotel lobby,D. public place,E. bank
4546,4546,3,"If shark is stuffed and preserved,where might it be displayed?",shark,A. deep ocean,B. pope's office,C. pool hall,D. maritime museum,E. great outdoors
913,913,4,Where would you see some people standing on a line near a road?,people,A. water fountain,B. military base,C. apartment,D. fire house,E. bus stop
1218,1218,0,What should you reply to if you get it while at work?,reply,A. email,B. mute,C. fax,D. send,E. answer
635,635,4,"What would form on your feet, if you were jogging all day?",jogging,A. heart attacks,B. hole in your socks,C. exhaustion,D. shortness of breath,E. blisters
1969,1969,0,Where might a small dog run in packs?,small dog,A. trailer park,B. own home,C. grandmother's house,D. apartment complex,E. basket
1993,1993,1,When buying beer what is it you give the cashier and they give you back less of?,buying beer,A. showing identification card,B. money,C. i.d,D. electrical circuit,E. proper age
4281,4281,0,Bar service is a very important part of what kind of celebration?,bar service,A. wedding,B. entertainment,C. hotel,D. train,E. pool party
434,434,1,Where can someone view a county highway as a line?,county highway,A. from the sky,B. map,C. cross counties by car,D. country,E. michigan
94,94,3,The city's community garden was demolished for yet another what?,garden,A. wasteland,B. ocean,C. desert,D. parking lot,E. flowers
1945,1945,3,What is likely to happen immediately a rash killing?,killing,A. go to the store,B. going to jail,C. being imprisoned,D. feeling of guilt,E. no longer live
4214,4214,1,"The steak house was superb, everybody enjoyed their steaks and particularly the side of corn that made which state famous?",steak house,A. united states,B. nebraska,C. mexico,D. strip mall,E. utah
149,149,2,What is a good result of jogging?,jogging,A. insect repellent,B. heart attacks,C. improved health,D. shin splints,E. being tired
1586,1586,1,"When the US is at war, where will it likely drop bombs?",bomb,A. canada,B. afghanistan,C. aircraft,D. arsenal,E. suitcase
2866,2866,0,"The tennis court suffered from fraternity pranks, where was it located?",tennis court,A. college campus,B. michigan,C. health club,D. wimbledon,E. town
3350,3350,2,"If a cottage is above the cloud line, where is it?",cottage,A. village,B. rural area,C. mountains,D. fairy story,E. valley
1084,1084,4,"She caught the first snowflake of her life on her tongue, she was naively excited to be spending a what in a region that actually had snow?",snowflake,A. cloud,B. december,C. air,D. africa,E. winter
2271,2271,0,What is the most likely feature of a cat that you can see in the dark?,cat,A. eyes,B. litter of kittens,C. four legs,D. nose,E. flippers
4647,4647,2,Why might others think a person is crazy?,person,A. catch cold,B. yell,C. talk to themselves,D. open doors,E. study greek
1905,1905,0,"If you wanted to put a lamp in the room where you sleep, where should it go?",lamp,A. bedroom,B. desktop,C. table building,D. corner,E. office
3177,3177,1,Playing piano and other creative activities need what?,playing piano,A. make music,B. inspiration,C. musical sounds,D. making music,E. dancing
553,553,3,Sally was a senior in the House.  What might she be a member of?,senior,A. assisted living facility,B. old people's home,C. high school or college,D. republican party,E. organization
431,431,4,"A large container was a dime a dozen, there were hundreds of rows of them in the giant what?",large container,A. factory,B. garden,C. supermarket,D. garage,E. warehouse
2773,2773,0,"If you are in your house, where is the sunshine likely to come through?",sunshine,A. windowsill,B. sea,C. disneyland,D. curtain,E. street
3158,3158,4,"You shouldn't consume toothpaste, despite that it goes in your what??",toothpaste,A. bathroom,B. sink,C. traveling case,D. suitcase,E. mouth
2429,2429,4,"If I am near a river with flowing water, which planet am I likely on?",river,A. mars,B. wisconsin,C. waterfall,D. mountainous area,E. planet earth
3748,3748,2,"There's tickets, rides, and games but the real money made where is in the food sales?",food,A. mall,B. kitchen,C. fairgrounds,D. neighbor's house,E. military base
2759,2759,2,Where can you get chicken without leaving your car?,chicken,A. eaten,B. bbq,C. fast food restaurant,D. plate,E. pizza
353,353,0,What might someone want to be if he or she is thick?,thick,A. slender,B. free flowing,C. sparse,D. unacquainted,E. diet
2676,2676,2,"He didn't know what he believed, just that after all his studying it made since there was a what than man's brain?",studying,A. culture,B. inspiration,C. higher intelligence,D. increasing knowledge,E. better grades
3907,3907,0,What do people make with crab?,crab,A. delicious meal,B. chinese market,C. fish market,D. aquarium,E. tidal flats
2363,2363,0,What divider is found in a house that has couches and chairs in it?,divider,A. living room,B. street,C. binder,D. notebook,E. office suite
4210,4210,3,Who is it important to pay attention to when attending school?,attending school,A. falling down,B. time,C. stupidity,D. teachers,E. patience
4224,4224,4,"If an apple tree were in the North, where would it be?",apple tree,A. alaska,B. farm yard,C. park,D. flowers,E. new jersey
1163,1163,0,"There was an attendant at the door to keep light from coming in during the show, it was a big premiere night at the what?",door,A. theater,B. building,C. office,D. neighbor's house,E. funeral
1271,1271,2,If a person is supported by those closest to them what do they have?,person,A. support group,B. get enough sleep,C. nice family,D. strong bones,E. compliments
59,59,0,What is a grumpy person likely to have?,person,A. headache,B. understand themselves,C. compliments,D. own house,E. happiness
878,878,1,"A person is putting on makeup, what is their likely goal?",person,A. feel pleasure,B. look attractive,C. compliments,D. interesting experiences,E. joy
4586,4586,0,Where is a dinner sometimes sold as a plate?,plate,A. restaurant,B. kitchen cupboard,C. table,D. banquet,E. cabinet
4711,4711,1,"By playing with educational materials, what were the children doing?",playing,A. fighting,B. learning,C. getting tired,D. injuries,E. having fun
1950,1950,0,"I as a person like to enjoy expensive things, why do I do that?",person,A. experience pleasure,B. cross street,C. value life,D. go into debt,E. to be sad
641,641,0,Where is a notebook often purchased?,notebook,A. bookstore,B. backpack,C. abraham lincoln's grave,D. desktop,E. classroom
304,304,1,A shop will give you what for your purchases?,shop,A. downtown area,B. container,C. ocean floor,D. the lost city of atlantis,E. high school
696,696,2,Where can someone purchase a contraceptive device without a prescription?,contraceptive device,A. pharmacy,B. person,C. drugstore,D. bedroom,E. mcdonalds
1259,1259,3,What do you need to do with a friend before going to play?,going to play,A. happy,B. sit,C. compete,D. meet,E. being entertained
828,828,0,"I was shopping at a car dealership, what did a salesman do?",car,A. appear suddenly,B. bottom out,C. go downtown,D. scream,E. roll over
494,494,0,What does a master carpenter use to put holes in objects?,master,A. drill,B. learn,C. require obedience,D. understand,E. spoon
1089,1089,2,"He retired from his command after twenty years, he was proud that he chose to what but was ready to retire?",command,A. obey,B. comply,C. serve,D. follow,E. ask
1645,1645,4,Where would a snake hide before ambushing prey?,snake,A. burlap sack,B. closet,C. pet shops,D. hot country,E. deep grass
1729,1729,2,"The car was out in the sun all day, what happened to the interior?",car,A. set off,B. melted,C. heat up,D. back up,E. red
345,345,3,"If you are fiddling through a music book when you should be playing, you probably dont have?",fiddling,A. practice,B. dexterity,C. idle time,D. knowledge of music,E. conductor
3710,3710,4,A lack of belongings means you aren't what material items?,lack,A. sufficient,B. plethora,C. lackbrain,D. enough,E. possessing
4715,4715,1,"Where would there be few or no people, regarless of whether there is rain?",rain,A. seattle,B. forest,C. weather,D. arctic,E. disneyland
4863,4863,2,"Josh is someone who usually stays up late. He's very much a night person.   Now he's applying to for a nine to five job, but he's worried that he might get what?",applying for job,A. employment,B. laid offf,C. less sleep,D. rejection,E. income
40,40,3,Where is a bald eagle safe?,bald eagle,A. pine tree,B. open country,C. in washington,D. wildlife refuge,E. sky
2799,2799,4,"A monkey ran through La Defense with classified documents, who was chasing it?",monkey,A. monkey,B. rain forest,C. captivity,D. madagascar,E. french government
2262,2262,3,Dave felt that punishing John for making a mistake would be wrong.  It would not be just. It would only be what?,punishing,A. hatred,B. feel sorry for,C. feel guilty,D. retribution,E. funny
252,252,3,"While laid up in the hospital she tried remembering good times, like that massage on vacation that brought great what?",remembering,A. dream,B. knowing,C. depression,D. pleasure,E. nostalgia
717,717,4,What happens to people when they do not have enough food?,people,A. eat fish,B. they steal,C. talk to each other,D. write stories,E. die of starvation
4554,4554,1,Where would you likely find a spa alongside similar services?,spa,A. sweden,B. health centre,C. backyard,D. house,E. country club
4817,4817,3,Knitting for a long time can lead to what condition?,knitting,A. bleeding,B. have fun,C. relaxation,D. carpal tunnel syndrome,E. sore hands
2351,2351,4,Colorado became one of the first to legalize recreational marijuana in the what?,colorado,A. mexico,B. america,C. texas,D. arizona,E. united states
382,382,4,Where can you store you tent and keep it on your person?,tent,A. sleep in while camping,B. camp ground,C. woods,D. bag,E. backpack
1552,1552,1,What do people who are construction workers do?,people,A. make music,B. build houses,C. talk to each other,D. make gingerbread houses,E. complete sentences
698,698,2,Where can you buy socks and jeans?,jeans,A. washing machine,B. laundromat,C. clothing store,D. closet,E. shopping mall
166,166,4,The game was on sale.  I got it then because it was usually what?,sale,A. buying,B. purchase,C. overpriced,D. way to much,E. expensive
1879,1879,3,Thousands of companies and a rosebush call what place home?,rosebush,A. lawn,B. rose parade,C. backyard,D. delaware,E. planting
106,106,3,Where would you find a bee gathering pollen?,bee,A. united states,B. sky,C. court,D. field of flowers,E. orchard
1483,1483,0,Where would a kitchen towel be found?,towel,A. cupboard,B. at hotel,C. linen closet,D. under a rock,E. locker room
2650,2650,3,What force keeps objects on the surface of the earth?,earth,A. tectonic plates,B. the sun,C. one moon,D. gravity,E. four seasons
2220,2220,4,What is a teacher trying to impart to their class?,teacher,A. group students,B. state facts,C. time test,D. suffering,E. better knowledge
4452,4452,0,Where can you find people trying to alleviate suffering?,people,A. hospital,B. hockey game,C. apartment,D. kitchen,E. water cooler
2952,2952,3,What will someone do in the house in the evening because of being hungry?,being hungry,A. make bread,B. have lunch,C. eat in restaurant,D. cook dinner,E. school
2639,2639,1,Given people's opinion of congress what place might they give the mascot of a weasel to?,weasel,A. state,B. washington dc,C. henhouse,D. public office,E. out of doors
4648,4648,0,"When he saw begrudgingly the plain landscape of his new home, what type of geography did he miss?",plain,A. mountain,B. hatred,C. gorge,D. fantastic,E. cliff
4953,4953,1,The largest train stations are in what areas?,train station,A. in a ocean,B. big city,C. bums,D. europe,E. downtown area
3151,3151,4,If you're hearing sounds what product the uses a laser are you using?,laser,A. physics lab,B. laboratory,C. bomb,D. hospital,E. cd players
1824,1824,1,He fantasied about getting a what while driving to work and the pros and cons of the extra responsibilities and benefits?,driving to work,A. new car,B. promotion,C. boredom,D. impatience,E. pressure
478,478,3,Where in your entrance hall can you keep you head wear?,entrance hall,A. school,B. large home,C. house,D. hat rack,E. closet
1154,1154,2,"The animals were not thirsty, so what did they do when they were by the river?",animals,A. feel pain,B. fly,C. pass water,D. die of cancer,E. feel pleasure
2456,2456,3,Where is a pack horse likely to work?,horse,A. women's literature,B. race track,C. belmont park,D. dude ranch,E. a movie
505,505,4,"After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what?",killing,A. wrong,B. death of,C. bad,D. negative,E. evil
4580,4580,2,"If I am in an auditorium watching an amateur play, where am I likely?",auditorium,A. crowd,B. street performance,C. high school,D. city,E. lights
1572,1572,3,What burning  feeling is eating hamburger in large amunts likely to cause?,eating hamburger,A. gas,B. being full,C. death,D. heartburn,E. food poisoning
2713,2713,2,"The christian Sunday school teacher gave out a punishment, this happened when the students did what to her orders?",christian,A. stumble,B. rebel,C. disobey,D. go astray,E. commit sin
636,636,2,Water is an important ingredient in what sugary beverage?,water,A. mountain dew,B. glass,C. soft drink,D. whirlpool bath,E. coffee cup
2433,2433,4,Where  might someone find lots of homes with a balcony railing?,balcony railing,A. theater,B. hotel,C. new orleans,D. theatre,E. apartment complex
4710,4710,1,which half of the earth do marmots live in?,marmot,A. south,B. northern hemisphere,C. north america,D. vancouver island,E. jungle
2998,2998,0,Where can someone level up?,level,A. video game,B. garage,C. food court,D. carpenter's shop,E. building
616,616,0,What do only some types of police do?,police,A. direct traffic,B. board vessels,C. arm themselves,D. help people,E. find drugs
3849,3849,0,How do the bosses share knowledge in person at work?,knowledge,A. meeting,B. dinner,C. encyclopedia,D. class,E. university
1242,1242,0,What does one do at an office?,office,A. work,B. school building,C. workplace,D. skyscraper,E. public building
3911,3911,4,What do you use to catch a mouse?,mouse,A. disneyland,B. cupboard,C. sewer,D. a large bottle of valium,E. trap
4865,4865,0,"My idea of entertainment is gambling, where should I go?",entertainment,A. casino,B. show,C. fairgrounds,D. buy lottery,E. friend's house
3913,3913,0,"Washing hands after certain activities is highly recommended, keeping up this habit can keep you in good what?",washing hands,A. health,B. skin irritation,C. park,D. become wet,E. dry skin
2104,2104,3,Joe was driven by curiosity to take up a career doing what?,curiosity,A. use television,B. see exhibits,C. read book,D. design software,E. taking a walk
1321,1321,3,"Some kids are shy in school, so taking a shower where can be intimidating?",shower,A. bath room,B. motel room,C. pool,D. locker room,E. at hotel
3893,3893,3,"When two people who love each other are alone, they will probably try to contact each other and get what?",alone,A. with others,B. with people,C. crowded,D. together,E. contact
3831,3831,1,What is a psychological benefit of having fun?,having fun,A. glee,B. stress relief,C. smiling,D. twinkle,E. may laugh
4769,4769,4,"The apple tree was located outside the car factory, it was one of many where?",apple tree,A. maine,B. india,C. oregon,D. washington state,E. detroit
2762,2762,4,"The person looked lustfully into his girlfriend's eyes, what did he want to do?",person,A. fight,B. thank god,C. sun himself,D. race against time,E. express love
2316,2316,4,"A flask is a container can, it is made to hold what?",container can,A. fire,B. store,C. contain food,D. garage,E. liquid
855,855,2,Rumors of roving bands of monsters killing people could lead to what?,killing people,A. panic,B. getting in trouble,C. mass hysteria,D. go to prison,E. murder
