,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,sent1,sent2,ending0,ending1,ending2,label
3700,3700,3700,3700,Casey sold a skirt online and made a small profit off of it.,Why did Casey do this?,needed to get a good deal,needed to know the market price,sell their skirt,2
1688,1688,1688,1688,Robin decided to follow Austin to ensure that they didn't get lost.,What does Robin need to do before this?,Guide them on there journey,Show them the way,needed to be unsure of the way there,1
2537,2537,2537,2537,"Wanting to get outside the house for errands, Aubrey left the dog alone.",How would you describe Aubrey?,guilty,relief,someone willing to take risks,0
1276,1276,1276,1276,Sasha dropped Casey's hand when she realized people were staring at them.,How would Sasha feel afterwards?,like they did something wrong,ashamed of self,like holding their hand,0
4944,4944,4944,4944,Sasha expected Riley to attack once in order to show that she could defend herself from others.,How would Riley feel as a result of this?,scared for Riley,happy for Riley,proud of Riley,2
1478,1478,1478,1478,Taylor wanted someone to shop with so Quinn agreed with Taylor to the mall.,What will happen to Quinn?,buy clothes,go shopping after Taylor,have fun shopping with Taylor,2
3528,3528,3528,3528,Jesse changed Ash's diaper everyday for a few years.,What will happen to Ash?,loved,bored,care about Ash,0
1023,1023,1023,1023,Kai asked Addison's parents for one of their famous pies as a donation to their annual fundraising event.,What will happen to Addison?,ask their parents to give Kai the pie,enjoy the pie,go get the cats from the pet crate,0
2323,2323,2323,2323,Sasha played basketball well.,How would Sasha feel afterwards?,a good player of baseketball,cricket player,a good basketball player,2
426,426,426,426,Carson asked my mom if I could play and she told him that he wasn't welcome.,How would Carson feel afterwards?,confused about my mother,very happy,very sad,2
2270,2270,2270,2270,Casey never gave Cameron respect even though they had been friends for years.,What will happen to Cameron?,wish they had better friends,treat Cameron poorly,argue with Cameron,0
3615,3615,3615,3615,Casey had not been feeling well and the couch was uncomfortable so Casey went to the mattresses to lay down.,What does Casey need to do before this?,Go to the doctor,Go to the mattress,wanted to be more comfortable,2
3476,3476,3476,3476,Riley bored Taylor's children.,What will Taylor want to do next?,tailor's chidren are pore,riley bored in beach,riley bored in home,2
1398,1398,1398,1398,Ash tossed the leftover bones aside for their dog to eat later in the night.,Why did Ash do this?,be kind,clean dishes,eat the meat,0
3731,3731,3731,3731,Carson pulled the football away from his teamate after seeing poor sportsmanship.,Why did Carson do this?,lecture the team,show that his team has good conduct,suspend the offenders,0
4922,4922,4922,4922,"With his group running out of time to complete the task, Cameron provided an answer for understanding the problem.",What will Cameron want to do next?,fix the problem,work slowly and thoroughly on the rest of the task,complete the task,2
2099,2099,2099,2099,"By the time Aubrey had realized the mistake, they had painted themselves into a corner.",How would you describe Aubrey?,Grateful,Regretful,foolish about the error,2
4197,4197,4197,4197,"Aubrey and Carson were supposed to meet at the diner, but Carson worked late so Carson joined Aubrey later.",What will Aubrey want to do next?,inform Aubrey they are running late,call to confirm with Carson that they would be there,wait to eat their meal,2
1611,1611,1611,1611,Ash looked around the room to find a bowl of cereal to eat right now.,How would you describe Ash?,feeling bored,feeling good,feeling passive,0
2881,2881,2881,2881,"Alex knew that Cameron left the house, but when their parents asked Alex lied for Cameron.",What will Alex want to do next?,home,tell Cameron they owe them a favor,decide to be untruthful,1
3997,3997,3997,3997,Sydney told Remy what had happened to them after they blacked out from drinking too much.,What will Sydney want to do next?,lp her friend home,Put her friend to bed,tell them everything,1
1278,1278,1278,1278,"Lee hired Carson to build him a porch, but the job was so big Lee had to hire other workers to help Carson.",What will Carson want to do next?,get paid from Lee,quit the job,do the job for free,0
250,250,250,250,SKylar went to Jan's birthday party and gave her a gift.,What does Skylar need to do before this?,go shopping,eat cake at the birthday party,stay at home,0
2897,2897,2897,2897,Jan put their music into words and the song they wrote moved millions of people.,How would you describe Jan?,feeling loved,they were successful,feeling lazy,1
2660,2660,2660,2660,Tracy came under Bailey's observation after she was trying to scape from school last week.,What does Tracy need to do before this?,Behave bad,assure Tracy she likes to study at school,work on her work assigment,0
1762,1762,1762,1762,Alex was told Kai did not want dinner because they ate something already.,What does Alex need to do before this?,not make food,be cooking dinner,make less,1
3910,3910,3910,3910,Remy taught them a lesson about dance and the crowd was very appreciative.,How would Others feel as a result?,indebted to Remy,skilled at dancing,glad for the crowd's reaction,0
3598,3598,3598,3598,Taylor felt very happy after getting an A on their final exam.,How would you describe Taylor?,tired,confused,proud,2
1860,1860,1860,1860,Lee took their child to the doctor when they got a cold.,What will happen to Others?,For them to get to the doctor,help them get to the doctor,help them get better,2
3532,3532,3532,3532,"Cameron pried Taylor's eyes open to check to make sure they still reacted to light. After no reaction, Cameron widened Taylor's eyes even more.",How would you describe Taylor?,suffering from an illness,suffering from overeating,suffering from sunburn,0
3586,3586,3586,3586,addison was a creative person so he used fire to keep warm.,How would Others feel as a result?,as calm,as angry,as upset,0
2148,2148,2148,2148,"Aubrey knew it was Casey's birthday, so she bought Casey a pair of shoes.",What does Aubrey need to do before buying the gift?,find out Casey's shoe size,wanted to surprise Casey,write the birthday card,0
444,444,444,444,Aubrey got Bailey's tree more water after they saw it needed it.,What will happen to Bailey?,need to get their tree healthy,need their tree watered,Their tree will stay healthy,2
62,62,62,62,QUiin looked for hours and in the end finally found the item.,How would you describe Quinn?,lucky,Relieved he really needs the money,easily deterred,0
4029,4029,4029,4029,Kendall felt bad when she lied to her dad.,How would you describe Kendall?,kind,bad that she lied,guilty about not telling the truth,2
2779,2779,2779,2779,Kai walked away from school at the end of a long day.,How would Kai feel afterwards?,was happy that school had ended for the day,was happy to be heading home after a long day,relieved afterwards,1
4208,4208,4208,4208,Taylor ran faster in the race and kept trying to do their best.,What does Taylor need to do before this?,enter another competition,take a rest,want to go faster,0
637,637,637,637,Aubrey shaded Kai's eyes from the sun's bright blast yesterday at Yellowstone National Park.,Why did Aubrey do this?,be knowledgeable,shaded Kai's eyes because Kai because she didn't want Kai to see Ted riding a tiger at the park,shaded Kai's eyes because Kai forgot her sunglasses and had left them in her room at home,2
2283,2283,2283,2283,"After looking in every library and through multiple sites, Addison found the movie.",How did finding the movie make her feel?,panicked,was happy,felt annoyed,1
1624,1624,1624,1624,Riley decided to sleep in even though she had to go to work.,What does Riley need to do before this?,wanted to catch up on sleep,disliked her job,had a late night,2
2266,2266,2266,2266,Jan cannot pay the rent because she lost her job but Lee made her move out anyway.,How would you describe Lee's attitude?,as depressed,forgiving,strictly unkind,2
4646,4646,4646,4646,"Riley ignored all of the warnings about the tsunami from their family, so Riley was washed away.",How would their family feel as a result?,devestated by Riley's death,angry towards Riley,excited about Riley's death,0
1407,1407,1407,1407,Kendall went to the store to get some items so they could fix the sink.,What will Others want to do next?,find a girlfriend,pick the right items,fix the sink,2
480,480,480,480,Bailey anticipated every possible problem because she could not control her worrying.,How would Bailey feel afterwards?,paranoid,nervous,carefree,1
2012,2012,2012,2012,Jesse got some news from the police downtown. Jesse's family was in the kitchen and called them into the room.,What does Jesse need to do beforehand?,share the news,talk to the police,talk to the friends,1
4374,4374,4374,4374,Sydney stayed the course even though they weren't sure if they could pass the class.,Why did Sydney do this?,take a nap,study very hard,graduate school,2
3175,3175,3175,3175,Addison got up early and drove to Tracys.  After Tracy put their suitcase into the car Addison took Tracy to the airport.,What will happen to Tracy?,not go on holiday,go on holiday,say goodbye to Tracy,1
4656,4656,4656,4656,Skylar lost Kai's power when she abused it to try and get things she wanted for free.,What will Kai want to do next?,wishes she never had the power to start with,wishes to have the power back,try to win Kai's favor,1
4558,4558,4558,4558,Robin is a good parent.  He is supportive of his kids.,How would you describe Robin?,Responsible parent,Pushy parent,love and affection,0
492,492,492,492,Taylor agreed to go with Jan on a walk to provide some much needed company since Jan was feeling down.,What will Taylor want to do on their walk?,say nice things,listen quietly as Jan talks,go walking,1
3323,3323,3323,3323,"Sasha struggled to get their sweater on since their hair was just done, so Riley pulled the wool over Sasha's head.",What will Sasha want to do next?,thank Riley for the assistance,get rid of the sweater,grab the sweater,0
3973,3973,3973,3973,Kendall impressed upon Remy to be truthful because it was the right thing to do.,Why did Kendall do this?,obey the law,teach Remy a lesson,be nicer,1
285,285,285,285,Carson couldn't bring all their things when they moved so Skylar packed up their things for them.,What does Skylar need to do beforehand?,get some more money,be asked by Carson,take them from Skylar,1
595,595,595,595,Sydney could not find her keys and she made a big deal about it.,What does Sydney need to do before this?,lose her keys,help Sydney,listen to Sydney,0
1629,1629,1629,1629,Casey was stubborn and obeyed way more woman than men.,What will happen to Others?,become best friends with Casey,learn nothing new,not talk to Casey,2
1591,1591,1591,1591,Casey had a job digging graves in the cemetery. Casey dug a deep hole at the cemetery one afternoon.,How would Casey feel afterwards?,hard at work,lazy,worried,0
3856,3856,3856,3856,Addison was a lawyer and helped Quinn get credit for the work Quinn put in with Kai for their trademark.,What does Addison need to do before this?,secure it,research Quinn's issue,submit the work,1
452,452,452,452,Riley gave everybody access to the school classroom.,How would Others feel as a result?,leader-like,upset about it,glad Riley was there,2
4989,4989,4989,4989,"Tracy gave their son a puppy for their birthday, along with a dog bowl and food.",How would you describe Tracy?,a thoughtful daughter,a generous parent,quite loved,1
4963,4963,4963,4963,Carson asked my mom if we could get married.,What does Carson need to do before this?,buy a ring,attend the wedding,ignore me,0
3406,3406,3406,3406,Sasha took Addison's belongings out of her room because they were not longer friends.,Why did Sasha do this?,not see her friend again,not have her belongings around,get rid of memories of Addison,2
1303,1303,1303,1303,Skylar attended school for the first time in years after deciding to switch careers.,What will Skylar want to do next?,study,make a good choice,start a new life,0
1831,1831,1831,1831,"Even though they both worked on the class project together, and did equal work, Casey never gave Cameron credit.",What will Casey want to do next?,start a fight with their friend,make things right with their friend,grow callous,1
1223,1223,1223,1223,Cameron broke my leg by accident and I was in a lot of deep and physical pain.,What will Others want to do next?,pay my bills,get medical care,Others will expect to be fine,0
1016,1016,1016,1016,Robin was out cycling but was hit by a car and was injured badly.,How would you describe Robin?,in crisis,not in crisis,scared,0
3191,3191,3191,3191,Quinn told terrible jokes at the first comedy show so they were booed off of the stage.,What will happen to Quinn?,request a refund for what they paid to see the comedy show,get a new job,never go to see Quinn's comedy shows again,1
751,751,751,751,Ash couldn't stand her boyfriend anymore. He is too obsessive about her and Ash cannot breath.,How would you describe Ash?,a person who wants freedom,happy and relieved,a person who has asthma,0
4206,4206,4206,4206,"After putting out a number of gift requests, Carson got her wish.",What will Others want to do next?,Others will be excited to see Carson's reaction,come up with requests,leave Carson alone,0
953,953,953,953,Lee kept asking Casey a lot of questions and was starting to get annoyed.,What will Casey want to do next?,get information from casey,walk away from Lee,kept answers from casey,1
2122,2122,2122,2122,Jordan left her father's side after finding out he was a liar and a cheat.,How would Others feel as a result?,very happy,very guilty,sad inside,2
2483,2483,2483,2483,"Cameron was sick at school, and could barely stand up on their own, so Aubrey took Cameron home to rest.",How would you describe Aubrey?,dependable,a person who thinks of others,a person who prioritizes their own interests,1
2927,2927,2927,2927,"After Sasha accused Austin about stolen his notebook, she found it, so Sasha owned Austin an apology.",How would you describe Sasha?,As someone who doesn´t know where her things are,embarrassed,ashamed,1
525,525,525,525,Jan ran out of fruit for her smoothie every morning. Jan went to the store to buy some fruit.,What does Jan need to do before this?,purchase the fruit at the store,needed to run out of fruit,look for the fruit aisle in the store,1
2008,2008,2008,2008,Robin was playing a video game instead of studying for the big test.,How would you describe Robin?,unconcerned about his grades,an excellent scholar,motivated to succeed,0
2656,2656,2656,2656,Jordan gave Taylor the right utensil in order to eat the soup.,What will Jordan want to do next?,get another spoon,get a knife,eat the food,0
1258,1258,1258,1258,Jesse is throwing a surprise party for Jan. Jesse makes a list of everything they need to do to prepare for the party.,What will Jesse want to do next?,over,invite guests and buy party supplies,discuss the party with Jan and others,1
2846,2846,2846,2846,Cameron got the dog away from them since the dog kept barking at their guest.,What will Cameron want to do next?,help their guest,please their guest,place the dog in the backyard,2
4560,4560,4560,4560,"Because they were worried about their car breaking down on the long drive to their new job, Kendall erred on the side of caution and looked into other options instead.",What will Kendall want to do next?,be cautious,quit their job,look for a good price on a rental car,2
2102,2102,2102,2102,Bailey made Sydney food when Sydney was too sick to make some themselves.,What will Bailey want to do next?,Tell Sydney she has to pay,Eat the food themselves,Sit with Sydney,2
165,165,165,165,Jordan found yoga will help. She was glad to learn that fact.,What will Jordan want to do next?,proceed with her plans,quit using yoga,keep working at yoga,2
4719,4719,4719,4719,A book got passed to the worker to determine how long it was. Carson assisted the worker in determining the length of it.,What will Others want to do next?,thank Carson,find out how long the book was,show sadness,1
3322,3322,3322,3322,Skylar was mad at Jan and felt like killing them that day.,What does Skylar need to do before this?,was mad at Jan,get mad,kill Jan,1
1021,1021,1021,1021,Cameron would make fun of Austin often because he was a mean person.,How would Austin feel as a result?,angry at others for some reason,happy,upset,2
3392,3392,3392,3392,Ash sent their friend to the store to pick up snacks because Ash broke their leg recently.,Why did Ash do this?,are sedentary,Others will help him,Others will care for him,0
2622,2622,2622,2622,Riley really liked the french fries but she really needs a sauce to dip them in.,What does Riley need to do before this?,go get some dipping sauce for the fries,ask for ketchup,eat the fries dry,1
2768,2768,2768,2768,Sasha sat at Bailey's computer so they could do their homework.,How would Sasha feel afterwards?,Good they go their homework done,lpful,Glad Bailey has a computer,0
4471,4471,4471,4471,Sydney was popping popcorn over the fireplace and Jordan wanted to see. Jordan got a little too close and Sydney turned his face away from the fire.,What does Sydney need to do before this?,move Jordan away,be watching popcorn,be watching Jordan,2
967,967,967,967,Jordan ran in circles while shouting and waving their arms.,How would you describe Jordan?,shouting and waving their arms,an attention seeker,ran in circles while shouting,1
1076,1076,1076,1076,Skylar and Alex were about to break up. They were meeting for the last time.,What will Skylar want to do next?,stay in touch,needed to think about options,needed to think over what to talk,1
3735,3735,3735,3735,Riley paid Carsons expenses so he could enjoy life more.,What will Riley want to do next?,Buy drinks to celebrate,Ignore Carson,get the money from the bank,0
3259,3259,3259,3259,Riley wanted a car but couldn't afford one. Riley was in a parking lot and stole a car.,What will Riley want to do after?,get rid of it,smash the car up,wanted a car but couldn't afford one,0
1214,1214,1214,1214,Riley stood around while Sydney talked to everyone but Riley at camp.,How would Riley feel afterwards?,happy,neglected,hopeful,1
211,211,211,211,Bailey asked where Jesse was going but did not get a response.,How would Bailey feel afterwards?,was caring,was curiolus,ignored afterwards,2
2289,2289,2289,2289,Sydney shooed the bobcat away fast from her backyard to make sure her dog was safe.,What will Sydney want to do next?,shoot the bobcat,see the bobcat,take the dog inside,2
3297,3297,3297,3297,Cameron went with the flow and offered his friend a drink at the party.,What will Cameron want to do next?,drink with their friend,fall to the floor,fit in with everyone at the party,0
3675,3675,3675,3675,Cameron was a good student and got good grades at school.,What does Cameron need to do before this?,be like cameron,make better grades,study,2
3843,3843,3843,3843,"Addison wasn't paying attention and knocked her coffee over, accidentally spilling it.",How would you describe Addison?,Not paying attention to her surroundings,misplaced her coffee too close to her,went to grab her coffee too quickly,0
652,652,652,652,Robin didn't want Lee to know that they had touched their things.,Why did Robin do this?,wanted to piss Lee off,wanted to be sneaky,leave the room,1
805,805,805,805,Bailey put the luggage in their car to get ready to leave for the airport.,Why did Bailey do this?,board a plane for a celebratory vacation in Hawaii,drive them to the airport,show them her passport,0
4625,4625,4625,4625,Taylor read online articles. Taylor liked to read often.,Why did Taylor do this?,be educated,liked to read often,be ignorant,0
2871,2871,2871,2871,The lights dimmed in the theater and Addison leaned towards Kai.,How would Addison feel afterwards?,friendly,liked Kai,nervous,0
820,820,820,820,Remy was in a wrestling match against Robin. Remy gave Robin the feeling of fear.,What will Remy want to do next?,be intimidating,hold on to Robin,be scary,0
2276,2276,2276,2276,Ash popped cookies in the oven to enjoy later that day for a bit.,What will Ash want to do next?,bake,make cookies,skilled,0
2917,2917,2917,2917,Taylor told Ash's mom about the bad grades she had gotten.,What will Taylor want to do next?,get her grades,Lie instead,be responsible,2
2329,2329,2329,2329,Lee left their bike in the garage because it was going to rain.,What will happen to Others?,have a dry bike,safe,get rained on,2
2664,2664,2664,2664,Alex had never met famous people until last night when a famous movie star walked into the bar.,How would Alex feel afterwards?,awestruck,gracious,wonderful,0
1380,1380,1380,1380,"Kai wanted to be sure that his plan wouldn't fail, so he made an effort to take every precaution.",How would Kai feel afterwards?,smart,carful,At ease,1
3587,3587,3587,3587,Remy told her friend that she wanted to go to the fair alone.,What will Others want to do next?,go to the fair,go alone,buy a toaster,0
4004,4004,4004,4004,"Jesse was thinking there was something wrong with Casey, so she took her to the doctor to get her looked at.",How would you describe Jesse?,feeling sad,happy Casey saw a doctor,okay,1
318,318,318,318,Quinn game new clients after her rival got arrested.,How would you describe Quinn?,A delighted lawyer,competitive,smart,1
1975,1975,1975,1975,"Casey gave Austin an indication of the ETA, but ended up being two hours later than that.",How would Casey feel afterwards?,guilty for giving the wrong name,frustrated at being bad with estimations,felt very annoyed at Casey,1
3767,3767,3767,3767,Sasha advised Carson to not go surfing today as the sea was too rough but Carson ignored Sasha'a advice and went anyway and ended up having a minor accident.,How would Carson feel afterwards?,smart for ignoring good advice,like an idiot,like a genius,1
687,687,687,687,"Jordan tied up all the loose ends at the butcher shop, so Jordan headed to the payphone.",What will Jordan want to do next?,post about it on social media,call the police,insert a quarter,2
3263,3263,3263,3263,"After feeling unwell for several says, Robin took a pregnancy test and realized she was pregnant. Robin eagerly went to tell her friend Austin the good news.",What will Robin want to do soon?,call her parents with the news,help Robin plan for the baby,Buy diapers and baby clothes,0
149,149,149,149,Tracy was asked if they understood the work and told the teacher at school no.,What will Tracy want to do next?,be polite,learn about the work,answer the teacher,1
3670,3670,3670,3670,Casey crunches numbers for the taxes and screws it up.,How would Casey feel afterwards?,be satisfied,be sad,useless,2
3225,3225,3225,3225,Lee knows Kai has a big secret. Several friends ask Lee to tell Kai's secret but Lee keeps their lips sealed.,How would you describe Lee?,investigate the secret,discover the secret,an honorable person,2
3673,3673,3673,3673,cameron was reviewing pictures of taylor and noticed a detail so he turned taylor's face upside down.,Why did Cameron do this?,suspected of committing,have something to talk to taylor about,alleviate boredom,1
2605,2605,2605,2605,"Jordan gave their sibling something for Christmas, but told them not to open it until New Years.",What will Jordan want to do next?,make sure it isn't wrapped early,see their sibling's reaction when they trash it,make sure it isn't opened early,2
2603,2603,2603,2603,Cameron strained every avenue to try and assist their friend.,Why did Cameron do this?,wanted to earn a favor for themselves,did not care what anyone thought,wanted to help their friend,2
1184,1184,1184,1184,Carson learned how to fly a helicopter and decided to give it a go.,What will Carson want to do next?,learn how,go to school,fly it,2
1264,1264,1264,1264,Lee made the arrest for Sydney because they were busy working on another case.,What will happen to Sydney?,work on their case,ask for the best officer they can for their work,were busy working,0
481,481,481,481,Ash accidentally left Bailey's phone behind when they exited the bus.,How would you describe Ash?,a careless person,like they owe Bailey something,a conscious person,0
1647,1647,1647,1647,Sydney mapped out the course for the trip on the map and satisfied manned's plan.,What will Sydney want to do next?,find a map,polished up the car lights,packed their bags,2
3537,3537,3537,3537,Addison checked Skylar's car for her phone after she realized she hadn't seen it since they got home from work.,What does Addison need to do before this?,have finished eating before this,have lost her phone before this,check for her phone at work,1
2625,2625,2625,2625,Riley pulled over to safety. It was raining hard and was slippery.,What will happen to Riley?,pull over safely,wait out the storm,never pull over,1
3686,3686,3686,3686,Sasha worked in Casey's office for ten years and is indispensable.,What will Casey want to do next?,ask Sasha to return,resign as well,ask for a promotion,0
625,625,625,625,Carson paid Skylar's expenses moving forward so that Skylar would not have to go into her pocket.,How would Carson feel afterwards?,like a benefactor,like a scrooge,thankful,0
1803,1803,1803,1803,Quinn heard talk about the new girl in the building. Quinn made a lot of assumptions when they saw them.,How would you describe Quinn as a person?,would be embarrassed,a helpful person,a uninformed person,2
620,620,620,620,Riley rescued Jan before she had an accident.,What will Jan want to do next?,a bad person,help Jan get home safely,thank Riley,2
3277,3277,3277,3277,Riley plotted and turned Sasha against the same team in order to create chaos.,What will Riley want to do next?,stay out of the way,demolish the other team,attack the other team,0
2470,2470,2470,2470,Jordan spent a night in jail after something horrible and regretting it.,What will Jordan want to do next?,say nothing,cry quietly,break the law,1
2646,2646,2646,2646,Addison looked a little bit sad today. So Alex made Addison laugh.,What does Alex need to do before this?,stay in a good mood,perform funny dance move in front of Addison,be reminded of a funny joke by Addison,1
4545,4545,4545,4545,Quinn saw Skylar soon and they both talked about the weather that day.,How would Skylar feel as a result?,worried wondering whether it will rain,loved,indifferent,0
755,755,755,755,Austin did not let anyone come to the party cause he was very depressed.,What will Others want to do next?,visit a psychologist,enjoy the party,not go,2
117,117,117,117,Ash elicited Jesse's response when she did not know the answer to the question.,How would Ash feel afterwards?,not prideful,ignored afterwards,helpful afterwards,0
2206,2206,2206,2206,Kai was tired of being overweight and unhealthy so he decided to start eating better.,How would you describe Kai?,happy to be overweight,much healthier,worried about his health,2
3498,3498,3498,3498,Tracy stopped at the mall yesterday and saw Kai standing there by the entrnace.,What will Tracy want to do next?,need to great Kai,need to smile at Kai,left the mall before entering,0
4256,4256,4256,4256,Lee hired a painter to help Carson paint his house last summer.,How would Carson feel as a result?,indebted,helpful,angry,0
3352,3352,3352,3352,Bailey wanted their thoughts to be know so they expressed their ideas.,How would Others feel as a result?,glad,Good that Bailey had thoughts on the subject,happy,1
707,707,707,707,Riley understood why Sasha was mad and wanted to make it up to her.,How would Sasha feel as a result?,would be mad at Riley,like a hopeful friend,apologize,1
4425,4425,4425,4425,Alex lived in Cameron's house before getting kicked out for mail fraud.,What will Cameron want to do next?,commit fraud,give Cameron a slice of cake,find someone else to live with,2
3285,3285,3285,3285,"Ash hadn't seen their grandmother in a long time, so they made a trip to their house to see them.",How might Ash feel when visiting their grandmother?,happy to see their grandmother,tired after their trip,nervous to visit their grandmother,0
2830,2830,2830,2830,Lee saw that Riley was cold so he offered her a blanket.,What will happen to Lee?,happy,be told to leave,be scolded,0
960,960,960,960,Austin kicked the tires that fell off his car.,How would Austin feel afterwards?,angry,tired of his tires falling off his car,upset that tires fell off his car,2
3112,3112,3112,3112,Carson got bit by a dog at the dog festival.,How would you describe Carson?,loved by animals,upset with the dog,Unlucky,2
1681,1681,1681,1681,"Kai was trying to chop the wood with an ax, so Kai stood the wood on its own.",What will Kai want to do next?,So Kai can chop it,steady himsef,take a break,1
691,691,691,691,Alex wanted to get to the water fountain first. Alex pushed Quinn away.,What will happen to Quinn?,be mean,get there first,hurt,2
2226,2226,2226,2226,Jordan made decent money and decided to donate to a charity.,What will Jordan want to do next?,have a good job,donate money next,hoard money next,1
2374,2374,2374,2374,Alex turned blue when he had inhaled the food he was chewing.,How would Others feel as a result?,Panicked at not being able to breathe,Scared of dying,like rushing over to help,2
1847,1847,1847,1847,Remy gave candy to their friends when they were at their house.,What will Remy want to do next?,have fun,ask about their friends,Hard to understand,0
860,860,860,860,Quinn took dessert away from Jesse because they were suppose to be eating healthy food together.,What will happen to Quinn?,ask for dessert afterwards,eat something healthy,get controlling,1
1866,1866,1866,1866,Sydney was annoyed by a fly buzzing around. They shooed it away swiftly.,What will Sydney want to do next?,watch the fly,kill the fly,continue their work,2
2127,2127,2127,2127,Carson sent his brother to fight and regretted it immediately.,What will Carson want to do next?,stop him next,laugh next,stop Carson's brother,0
1210,1210,1210,1210,Sasha made decisions for Remy until Remy got fed up with how controlling Sasha was being.,How would Sasha feel afterwards?,offended by Remy,proud of Remy,insecure,0
4454,4454,4454,4454,Austin went back to Carson after he went into the kitchen.,What does Austin need to do before this?,of eaten in the kitchen,talk to Austin,of been around Carson,2
3513,3513,3513,3513,Jan was ashamed of what Robin had done and could not believe Robin would do that.,What will Jan want to do next?,stop talking to Robin,robin who has beleived his work,jan who has ashamed but not beleive to robin,0
3800,3800,3800,3800,Robin noticed homeless people standing on the sidewalk so Robin gave them money.,How would Robin feel afterwards?,angry with herself,ashamed of herself,proud of herself,2
4851,4851,4851,4851,Remy got the job after searching for a long time.,How would Remy feel afterwards?,angry,annoyed,great,2
3181,3181,3181,3181,Jordan came home and blew off steam by hitting a punching bag.,Why did Jordan do this?,decompress after having a bad date,decompress after having a hard day at work,relax at home,1
883,883,883,883,Lee met the man of their dreams and they went on their first date.,What will happen to Lee?,think of a date,have a good date,loved,1
4795,4795,4795,4795,Addison got Quinn in a trademark trap and stole his invention from him.,What will Addison want to do next?,get revenge on Quinn,congratulate Quinn,sell the product,2
1646,1646,1646,1646,Quinn spent a lot of time with the Kai family with which they were staying in America.,What will Quinn want to do next?,clean up after the Kai family,learn from Quinn,give a gift to the Kai family,2
4010,4010,4010,4010,Bailey loves to eat pumpkin pie and it is finally in season. Bailey drives to the store and buys several pumpkins.,What will Bailey want to do next?,carve the pumpkins & bake pie,buy apples and cherries for pie,get into her car,0
4435,4435,4435,4435,Taylor missed the bus and ended up having to walk home from school yesterday.,How would Taylor feel afterwards?,full of energy,worn out,fully awake,1
3276,3276,3276,3276,Quinn made pasta at home by herself for her 30th birthday party.,Why did Quinn do this?,impress everyone,eat pasta,go to the store,1
326,326,326,326,Addison decided to call the manager until Skylar's office because Skylar wanted to talk about a promotion and a raise.,What will Skylar want to do one the manager arrives?,talk about the manager's promotion,talk about Addison's raise,discuss a promotion,2
4388,4388,4388,4388,Remy set Lee up on a blind date. The person couldn't see anything past their ego.,How would Lee feel as a result?,they were sad,they were joyful,they were spending their time well,0
174,174,174,174,Casey went back years and now she can't remember.,What will Casey want to do next?,be happy,be forgetful,be sad,2
175,175,175,175,Riley forced Jan's entrance when the door wouldn't open for her.,What will Riley want to do next?,check the door for locks,need to apologize to Jan,run at the door,0
3547,3547,3547,3547,Skylar changed Addison's place and cleaned it and it looked much better than it did before.,What will Skylar want to do next?,clean next,be paid next,Make a mess,1
3469,3469,3469,3469,casey was about to strip so she started taking her shirt off.,How would you describe Casey?,as promiscuous,as normal,very brave,0
4100,4100,4100,4100,Sydney flunked the latest math test and felt like a failure.,What will Sydney want to do next?,not study,study longer hours,ignore class,1
949,949,949,949,Addison was trying to see if Tracy was sick. Addison took Tracy's temperature.,Why did Addison do this?,check on Taylor,rest and get better,go see a doctor,0
1499,1499,1499,1499,Carson sent in someone else's photos for his submission because he wasn't ready.,What will Carson want to do next?,Instead of sending his photos he sent another person's,he needed to submit his photos,lie,2
4746,4746,4746,4746,Jesse committed himself to Sydney's care and was not sorry about it.,What will Jesse want to do next?,care for Sydney,ignore Sydney,leave Sydney,0
2247,2247,2247,2247,The backdoor slammed open and Kendall held Robin close as cause they were afraid.,What will happen to Kendall?,lock the door,hide with Kendall,protect Robin until the intruders are gone,1
4915,4915,4915,4915,Bailey was not careful while using the new glue gun she ordered for her crafts class. Bailey burnt their fingers.,How would you describe Bailey?,not careful with things,upset afterwards,very attentive in class,0
4800,4800,4800,4800,Sydney became the same as Jan in the end after they both got a promotion.,What will Jan want to do next?,apply for a promotion,Do well at their job,Get a promotion,1
37,37,37,37,It was late and night and Bailey was asleep in bed alone.,How would Bailey feel afterwards?,excited about it,nervous and scared,likes to be alone,1
2354,2354,2354,2354,Skylar has been bogged with work and wishes she could take a vacation.,How would Skylar feel afterwards?,stressed and tired,ready to work overtime,that it might be time to change jobs,0
4446,4446,4446,4446,ash kept calling casey's phone and finally got a hold of him.,What will Casey want to do next?,ask ash questions,pull up Casey's number on her phone,look up Casey's phone number,0
3463,3463,3463,3463,"Even though her mother said not to, Bailey got the cat.",What will Bailey want to do next?,make sure the cat has food to eat,throw the cat back on the street,give the cat up for adoption,0
1538,1538,1538,1538,Kai took Jesse to the doctor's office after Jesse got dizzy and fell down at dinner.,What does Kai need to do before this?,push Jesse down onto the floor,get Jesse into a towel,get Jesse into a car,2
3810,3810,3810,3810,Cara didnt have a car. Austin loaned his to her.,What will Austin want to do next?,get the car back,borrow the car from Cara,be nice,0
2983,2983,2983,2983,Skylar needed a new phone after she dropped her old one in the toilet.,How would Skylar feel afterwards?,inconvenienced,klumsy,empty,1
4911,4911,4911,4911,Ash caught Jesse stealing and gave her the eye.,What will happen to Ash?,reprimand Jesse,return what they stole,apologize for stealing,0
