,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
2138,lsmdc1044_Pride_And_Prejudice_Disk_Two-89886,11919,"Someone is sitting peacefully by the fire in the parlor, reading a book and sipping a glass of wine. She","Someone is sitting peacefully by the fire in the parlor, reading a book and sipping a glass of wine.",She,gold,"goes to sit in front of the mirror, gazing sadly at her reflection, then leans forward and blows out the candle.","goes down the front, and smiles as someone continues to sway.","looks up with the diary, pulling the front of his eyes people watching him ahead.",brings up a coffee glass and standing up.,0
69527,anetv_FQkvwPpDomw,18336,"A man standing outside in the snow, wearing snow gear with a shovel. He","A man standing outside in the snow, wearing snow gear with a shovel.",He,gold,starts down the snow as fast as he can.,puts a scraper and skis on it while speaking to the camera.,"has to get all the snow off of the car, from the windows and everything.",pulls back at his forehead and over his beard.,2
71350,lsmdc3082_TITANIC1-38805,9651,As dawn breaks over the ocean. Someone,As dawn breaks over the ocean.,Someone,gen,loses his balance and turns back to the water.,positions himself on the boat.,"watches helplessly, stoned on his tail as someone watches someone join them.","through the front window, the boats soar over a huge green ocean with tips perched on a studded rock.",1
65360,lsmdc3020_DEAR_JOHN-10149,18333,Someone taps his fork against his plate and sets it down. Someone,Someone taps his fork against his plate and sets it down.,Someone,gold,"stares with doe - like eyes, then lowers her dark lashes.",comes by bumps his deputies.,drops his foot to the stove's.,rounds the corner trying to find.,0
9678,lsmdc3033_HUGO-14299,12882,Her dog pulls her away from the cafe. As station agents,Her dog pulls her away from the cafe.,As station agents,gold,show someone's attention.,"kneel down, they pass the intruder's courtyard through another open door.",head down the sidewalk to the security's apartment.,rush to her aide.,3
2313,lsmdc1010_TITANIC-77950,6503,"Someone's eyes widen as the huge funnel tips over. Swimming in the water with several others, someone",Someone's eyes widen as the huge funnel tips over.,"Swimming in the water with several others, someone",gold,scoops someone's butt up.,looks up as the giant funnel falls onto him.,climbs onto the boat's deck.,grabs it by the current.,1
15737,lsmdc0049_Hannah_and_her_sisters-69153,17056,"Someone is seen leaving the hospital. He strides slowly, his shoulders",Someone is seen leaving the hospital.,"He strides slowly, his shoulders",gold,"heave as he tries to change the shampoo, which brings someone to a halt.",tied toward the basin.,shifting slightly on the floor.,"slouched, his hands in his pockets.",3
56344,anetv_y7tActqdm9A,5210,Two wildebeests lock horns in a fight for dominance. The fight,Two wildebeests lock horns in a fight for dominance.,The fight,gold,continues with the rest of the wildebeest herd looking on.,splits up for staff.,is replayed by an older man fighting.,makes them crumble.,0
3506,anetv_54VcTlhF2H8,8560,A lot of people are sitting or walking on stands. the man,A lot of people are sitting or walking on stands.,the man,gold,mounts a horse and walk across the beach.,moves suit and does a series of tricks.,"lands in the floor, greets and people applauds.",spins two women on indoor wrestling.,2
3030,lsmdc0028_The_Crying_Game-63748,8507,"But someone rises and walks out. Someone looks toward it, but someone",But someone rises and walks out.,"Someone looks toward it, but someone",gen,moves away from his daughter.,turns to look at him.,indicates that obviously has drained someone's attention.,remains rooted to the spot.,3
11577,lsmdc3043_KATY_PERRY_PART_OF_ME-20782,4281,She peers at the screen. Someone,She peers at the screen.,Someone,gen,finds a magazine cover.,holds out her hand.,transmitter mounted on stage reads.,picks up his empty book and walks along.,1
59051,lsmdc0023_THE_BUTTERFLY_EFFECT-59357,17258,"Finally, someone throws the bomb in the mailbox. Someone","Finally, someone throws the bomb in the mailbox.",Someone,gen,release the cord and hangs nearby.,walks away towards the parked garage.,reaches for the bag as the bus veers crushes its other rear.,rips off dark plastic stretches with railings.,1
41123,anetv_5JlwYD_GChY,8236,Scenes of different teams playing in a beach soccer tournament. Clips of the tourists in the beach town and spectators,Scenes of different teams playing in a beach soccer tournament.,Clips of the tourists in the beach town and spectators,gold,watch the cricket game.,lining the beach sideline.,talk about the event.,get on and start pulling a massive ball.,1
32454,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60367,2622,Someone slowly steps up to the pedestal. he peers into the glossy surface. The night sky,Someone slowly steps up to the pedestal. he peers into the glossy surface.,The night sky,gold,is reflected into the water.,reflects the dragon's feathers.,reflects a structure of glowing le.,cloudy with a brilliant sphere of light grey sun.,0
67587,anetv_pKV8lrvbX6Q,12208,A little girl swings across the monkey bars on a play ground. She,A little girl swings across the monkey bars on a play ground.,She,gold,is interviewed as well.,"runs under the monkey bars, then adjusts the balance and falls.",goes across each bar before jumping to the ground.,adjusts the bar component as she does.,2
27684,anetv_mTsEJFP3W1A,12276,A bicycle is shown in a room leaning up against a brown table. A person then,A bicycle is shown in a room leaning up against a brown table.,A person then,gold,continues speaking as he picks up the ball.,begins turning on a single piece of wood.,walks into the room and starts to take pieces off of the bicycle.,removes a computer paper on the table and picks up the paper.,2
9021,anetv_VqTyewe2R1A,3089,"Then, the marching band stops playing for a little bit, then it resumes. A woman","Then, the marching band stops playing for a little bit, then it resumes.",A woman,gen,is singing while playing the guitar by continuing to play the bagpipes.,walks into the circle and talks.,arrives in front of people is watching.,holds a top door a few times before starting the horse.,1
27790,anetv_JgAlMwG3fWw,10684,"There are people on personal sailboats and they're holding onto their sails, leaning as far back as they can. A woman wearing a hat, wetsuit and a lifejacket","There are people on personal sailboats and they're holding onto their sails, leaning as far back as they can.","A woman wearing a hat, wetsuit and a lifejacket",gold,"raise hat, walks down the street holding workmen.",is sitting on her sailboat and holding onto her sail and steering.,helps the video grease moving on her right hand.,shirt wears a blue t - shirt.,1
29588,lsmdc1049_Harry_Potter_and_the_chamber_of_secrets-92661,18957,"He struggles desperately to free himself from its ghastly grip. The hand releases him, and he",He struggles desperately to free himself from its ghastly grip.,"The hand releases him, and he",gen,picks up the cushion.,heads for it with the help of his nostrils.,knocks it against the wall.,carries it out of the envelope.,2
9430,lsmdc1047_Defiance-91839,225,Someone comes across someone sitting hunched on a mossy bank. Someone,Someone comes across someone sitting hunched on a mossy bank.,Someone,gold,is clearly hidden by a wide tunnel.,goes from the humans as spider - man out over the street.,leaps out from the woods as he lifts it up.,leans against a tree and watches his young brother's distress.,3
68545,lsmdc1051_Harry_Potter_and_the_goblet_of_fire-6839,9357,He stops his fall by grabbing desperately onto a narrow parapet. The dragon,He stops his fall by grabbing desperately onto a narrow parapet.,The dragon,gold,spins to guide the wind.,"rises off the sides of the globe, which leads into tiny fragments.",settles on a nearby turret.,goes smoothly towards his close.,2
66517,anetv_V4S9ppnrXzc,9059,Little baby is swimming in the pool. man,Little baby is swimming in the pool.,man,gold,is in the room showing the baby video again.,is wearing black socks sitting in bed.,is walking on a trampoline.,is swimming in the pool and have his hand holding the unconscious woman's gaze.,0
1619,lsmdc3083_TITANIC2-39271,18647,Someone stands between someone and her mother. Someone,Someone stands between someone and her mother.,Someone,gold,closes the carriage and stretches a circle around the teen.,is in the parlor with someone.,writes white cotton in the sack with her hand.,descends the grand staircase.,3
43669,lsmdc0016_O_Brother_Where_Art_Thou-55275,7542,A rifle shot kicks up dust in front of the men. The front of the farm house,A rifle shot kicks up dust in front of the men.,The front of the farm house,gold,shows only a harshly shaded front porch and a dark screen door.,is elevated by a green fence.,"seems to grow, and debris.",clears places people abandoned cars and passes in area.,0
51174,anetv_SGQQSH88isc,10350,The lady throws darts a a bulletin board. We,The lady throws darts a a bulletin board.,We,gen,see them playing in slow motion.,see a couple dealing bag cards on a table.,see the ending screen screen.,see a man skating on a curling court with a camera.,0
67183,lsmdc3033_HUGO-14123,14653,The boy watches as the man lowers his head and shuts his eyes. His hands,The boy watches as the man lowers his head and shuts his eyes.,His hands,gen,clasped in a helpless grimace.,cupped over his face and bathes his face.,"grasping someone, his mouth agape.",travel frantically to his pants.,0
69292,anetv_jpclX7wgcZU,17020,A blue raft is next to him holding a red cooler. Another person,A blue raft is next to him holding a red cooler.,Another person,gen,is swimming on the ice in the water.,is riding in a line solidly.,is seen sitting near a yellow canoe.,uses a small blue paddle to play the intertubes.,2
54296,anetv_0-ReTddxkhg,16742,The woman in black makes a face to the camera. Both girls,The woman in black makes a face to the camera.,Both girls,gold,come out and then stand in front of them.,bend over a bit in front of the camera.,shake on their hair to style her braid.,are finished indoors the whole time.,1
2289,lsmdc1010_TITANIC-77950,6466,Someone stares across the wheelhouse. He,Someone stares across the wheelhouse.,He,gold,looks up from his wand which is now hazy to him.,looks at richard parker who is also angry.,"gazes through a windows at the rising water, then places on hand on the helm.",smokes his cigar.,2
46556,anetv_U_Pb3Wm_pb4,13813,The man jumps down off of the rope and starts at the beginning to walk across it. The man,The man jumps down off of the rope and starts at the beginning to walk across it.,The man,gold,"runs forward backward and sideways, trying to speak and then return again for the first time.",jumps off again and gets back on the rope and jumps off.,climbs on to the stepper and goes back and forth and jumping down.,continues his way forward and holding his calf that rides to the front rope.,1
29581,lsmdc1049_Harry_Potter_and_the_chamber_of_secrets-92661,18957,"He struggles desperately to free himself from its ghastly grip. The hand releases him, and he",He struggles desperately to free himself from its ghastly grip.,"The hand releases him, and he",gold,picks up the cushion.,hurries across the shop towards the open door which leads out into the alley.,heads for it with the help of his nostrils.,carries it out of the envelope.,1
6646,anetv_Rc_pWU_3WLk,2988,One knocks the other one out. The winner,One knocks the other one out.,The winner,gold,stands tall on the arena.,breaks and kicks off one of the blue pucks.,holds the bat up.,kicks people from hiding and cheerleader bodies.,0
17591,anetv_U7vH9pEfGVw,1562,A man in a suit is talking. A woman in a yellow dress,A man in a suit is talking.,A woman in a yellow dress,gold,hurries her on his arms.,is working out on an elliptical machine.,starts dealing cards onto the table.,is quickly floating in the water.,2
4079,anetv_wBy9_ZSfEVA,16292,A man and a little girl and a boy are flying the kite and holding the base of it. A little girl,A man and a little girl and a boy are flying the kite and holding the base of it.,A little girl,gold,gets in the pool.,throws something on the ground.,takes a protective harness from the ground and does a bungee dive.,makes off his diving board into a blue rock.,1
436,lsmdc1017_Bad_Santa-7630,6571,Someone follows him to the kitchen where he puts the hand under the tap. He,Someone follows him to the kitchen where he puts the hand under the tap.,He,gen,clicks the knob and goes through all the rooms underneath the swing.,washes soap on out.,"takes a lookout cigar from his pocket, then knocks over the broken goblets.",rubs it down self - consciously.,3
64509,lsmdc1024_Identity_Thief-82593,1899,Someone finishes off a large bottle of champagne. As someone,Someone finishes off a large bottle of champagne.,As someone,gen,gazes through his pants.,crosses a blue bureau over her shoulders the teacup remains at her feet.,"hangs his head, the light submerges someone.","eyes her, someone approaches.",3
56492,lsmdc1054_Harry_Potter_and_the_prisoner_of_azkaban-9500,15671,Someone gazes down at the busy marketplace below his window. Someone,Someone gazes down at the busy marketplace below his window.,Someone,gen,is slumped on a bench.,pinches someone's nipples with a perplexed smile.,opens his own door for someone.,"stifles tears, then drops it on the edge.",2
1234,anetv_uTc2-oAxgbc,958,We see a girl sitting in a piercing parlor with a lady standing near her. The lady,We see a girl sitting in a piercing parlor with a lady standing near her.,The lady,gold,brushes fake hair and puts lipstick on her teeth.,puts a clip on the girls lip and sticks a large needle through her lip.,rows one drawer sweeping the cat.,shows her puppy leg tattoo with her finger as she decorates the design.,1
61011,anetv_eUecHAdv1uU,9076,A cowboy rides into a stadium on a pony. the man,A cowboy rides into a stadium on a pony.,the man,gold,jumps over the cow and joins the cow.,jumps off of the pony and catches a running dog.,leaves and stands to the left and hugs him on the first end.,uses a woman's hand to wrap around the woman.,1
66270,lsmdc3010_BIG_MOMMAS_LIKE_FATHER_LIKE_SON-195,15959,He opens the door and sees her in her nightgown. He,He opens the door and sees her in her nightgown.,He,gen,watches and licks her lips.,is reading the paperwork's shelf.,stands and presses a button.,has been watching the page.,0
36426,anetv_DJNmAoSQu6k,9120,She has a conversation with a man who is also a newscaster. Images of hand molds,She has a conversation with a man who is also a newscaster.,Images of hand molds,gold,pulling are shown and leads into more people running in a large pool with people running around the track.,are shown in the background.,are shown throughout her screen.,appear appear with a woman with round and wet hair.,1
54798,lsmdc1008_Spider-Man2-75388,1904,"He catches her, and they swoop and swing down the street. Bags of money in one pincer, he","He catches her, and they swoop and swing down the street.","Bags of money in one pincer, he",gold,disappears around the corner of the building.,throws his fist down.,finds himself swinging back.,"pins the ball against the grill watches and reads, can't take any clothes, throws the box.",0
12965,anetv_jkWqhnD8hyQ,6156,A man is talking to the camera. The man,A man is talking to the camera.,The man,gen,uses hair products to dry his beard.,starts braiding his hair.,points the ball on a dartboard.,begins doing a series of scissors and pulling aside excess pieces.,1
36975,anetv_tRgK4fFA8sE,11517,A woman looks into a camera and smiles while talking before the scene cuts away to a pair of hands working on a bike chain. A pair of hands,A woman looks into a camera and smiles while talking before the scene cuts away to a pair of hands working on a bike chain.,A pair of hands,gold,closes in a sink while still speaking to the camera and showing off a ski gear.,are shown seen on the machine while three others help to work out.,work on a bike chain with tools and bolts.,is bending down in front of a stone wall.,2
14182,lsmdc3066_THE_ADVENTURES_OF_TINTIN-31993,10621,"Someone, someone and someone step down a gang plank. Someone","Someone, someone and someone step down a gang plank.",Someone,gen,patterned passengers enter an coatcheck area.,grabs her father's coat off the peg.,stands fully dressed with the chain folded over their chest.,has the second truck coming to life.,2
17423,anetv_q0KrlywYHM8,6242,"A person talks on front a swimming pool, after and advertising displays. Then, two people","A person talks on front a swimming pool, after and advertising displays.","Then, two people",gold,play in the pool holding a ball.,are shown demonstrating water ski while men practice rope videos stand.,run inside a roofed gym showing paper moves with a trophy.,perform a ball of pool as they in the circles.,0
54712,lsmdc3092_ZOOKEEPER-45136,13504,"Keeping his eyes on the animal, he walks backward out of view again. Now, three kids","Keeping his eyes on the animal, he walks backward out of view again.","Now, three kids",gold,stand at the lion enclosure.,decorate the christmas tree.,arrive at school in the now sunshine.,drive through the woodland jumping.,0
31686,lsmdc3028_GHOST_RIDER_SPIRIT_OF_VENGEANCE-12719,13164,Someone shakes loose of his grasp and follows someone. Someone,Someone shakes loose of his grasp and follows someone.,Someone,gold,runs under a bridge along a river.,quickly turns his sniffling gaze on someone.,submerges all the way up.,shakes someone's head and storms away.,0
18105,anetv_5-vAXCUN8X0,15113,A crowd is gathered at an indoor swimming pool. several people,A crowd is gathered at an indoor swimming pool.,several people,gold,are watching the people.,are in the pool throwing a ball around.,gathered watching them jump rope.,are practicing swimming in front of the pool.,1
12345,anetv_ciEBsDNryN8,3129,A band is seen walking in behind her and begins playing while she does. The girl,A band is seen walking in behind her and begins playing while she does.,The girl,gold,continues to dance as the woman continues playing.,continues moving while a camera pans around and leads into the people moving back and fourth.,continues to play with the band and ends by looking to the camera.,continues play the piano on the couch while looking back and looking at the camera.,2
66025,lsmdc0010_Frau_Ohne_Gewissen-51253,10720,"He is standing behind his desk opening some mail, taking a few papers out of his briefcase, checking something in his rate book, making a quick telephone call. Someone","He is standing behind his desk opening some mail, taking a few papers out of his briefcase, checking something in his rate book, making a quick telephone call.",Someone,gold,types on his blackberry as he watches.,"unwraps the book, sets it together.","comes right back to the desk, puts the receiver to his ear which grabs his phone with a fences.",enters with some papers in his hand.,3
51842,lsmdc0026_The_Big_Fish-62304,10818,"He waves it at the dog, ready to strike it. It","He waves it at the dog, ready to strike it.",It,gold,is drawn towards the double of the herd on a bluff.,"bounces excitedly, ready to play fetch.",stops and begins to speak.,"waddles across its frame, smiles and turns at the bear.",1
55919,lsmdc3084_TOOTH_FAIRY-40029,12972,"Without warning, someone gets thrown backward. A peppermint embossed with a dog bone","Without warning, someone gets thrown backward.",A peppermint embossed with a dog bone,gold,enters attacked with sting as the electricity barges into someone's chest.,floats through midair and flies into someone's mouth.,catches water from it.,is fastened onto the scaffold.,1
19163,lsmdc3055_PROMETHEUS-26626,3495,"Above, thick black clouds engulf the dome and the enormous carved skull on its crest. From a long distance, the storm","Above, thick black clouds engulf the dome and the enormous carved skull on its crest.","From a long distance, the storm",gold,"just runs its peak along the coast, then stares into the night sky.","stone faces the white, gray.",forms the star of tiny soaring crags.,appears as a swiftly moving wall of roiling dirt.,3
31028,anetv_FARJEomZRrc,1278,A person is sanding a piece of wood on a table. They,A person is sanding a piece of wood on a table.,They,gold,begin shaving the wood with a red razor tool.,is putting yellow tiles on a tree in front of them.,start painting the carpet.,begin to do tricks on the ground.,0
58864,anetv_yH0xeA_OvWg,3394,The person uses a rag all along the sink while looking to the camera. The woman,The person uses a rag all along the sink while looking to the camera.,The woman,gold,continues soaping the rag under a faucet while cleaning the board off.,cuts the wood with the brush while speaking to the camera again.,moves the cream all over the walkway while still speaking to the camera.,continues cleaning the sink.,3
63909,lsmdc1034_Super_8-8043,12496,"Their faces grimed from the explosions, people regard each other for a moment. Then someone","Their faces grimed from the explosions, people regard each other for a moment.",Then someone,gen,springs up and marches around.,slides down a wad of cash.,stops walking and sets his headphones on someone.,plunks as he pinches a finger.,0
26935,lsmdc3053_PARENTAL_GUIDANCE-25643,15840,A stick - thin woman with a copper red bob and severe features coaches her. Someone glumly,A stick - thin woman with a copper red bob and severe features coaches her.,Someone glumly,gold,comes out of the rehearsal room.,bolts in and puts his head in.,scans the brow of another blow and sends her flying hard to follow.,watches the birds her shot.,0
11165,lsmdc1034_Super_8-8164,15045,"A tear rolls down his cheek and he wipes it away with his hand. At dusk, someone",A tear rolls down his cheek and he wipes it away with his hand.,"At dusk, someone",gold,"places his hand on the roof collar, then peers through the revolving door.","talks with his digicam as his daughter leaves someone, dwarfed by their young daughters and surrounded by guests.",cycles up a steep hill and goes in through the gates of a cemetery at the top.,lies asleep with someone in his.,2
36040,anetv_n637bl2-DDo,14182,A man talks in front of an office building. The man,A man talks in front of an office building.,The man,gold,does a double flip.,turns away and goes out of the workshop.,enters the building and walks up the staircase.,gets into the back seat and walks around.,2
5737,lsmdc3035_INSIDE_MAN-2005,11912,She buttons her designer business coat and follows him. They,She buttons her designer business coat and follows him.,They,gold,stand on the trunk next to someone.,stop in front of a we will never forget poster.,stare at each other.,draw the way to the turret of a road.,1
56979,anetv_aaMrQi25WHc,12510,"The man continues surfing, spinning and jumping, after he takes his surfboard and walks on the beach. A surfer","The man continues surfing, spinning and jumping, after he takes his surfboard and walks on the beach.",A surfer,gold,jumps into the water before waves in the water.,turn over in a wave.,falls backwards by the wind surfing.,streaks through some sand on the beach.,1
17670,anetv_wCG7f6naJsQ,5904,After that he cleans the inside rim of the greasy axle with his finger. Then he,After that he cleans the inside rim of the greasy axle with his finger.,Then he,gold,takes the washer and cleans it further to fix it back into the axle.,uses hands to block the steel using his hands.,puts a knife under a stack of tape and starts to reach the hole.,pulls the ski and spreads it sideways down to the surface.,0
73467,lsmdc0012_Get_Shorty-53537,17942,Someone stands there with her arms folded across her chest. The two men,Someone stands there with her arms folded across her chest.,The two men,gen,are just getting ready to sit with their bikes.,laugh at each other and cheer as they move toward the end opposite the ladder.,travel down the back of the vest.,walked in her aisle past the other.,3
8611,lsmdc3061_SNOW_FLOWER-29675,17758,"Now huddled by the window, someone opens the note. Someone","Now huddled by the window, someone opens the note.",Someone,gold,is stopped at a garage door.,"beams softly, folds the note shut, and gazes out the window with a hopeful smile.",picks some balls out of a plastic bin.,whacks it in the back pocket.,1
62963,lsmdc0023_THE_BUTTERFLY_EFFECT-59415,1983,Someone looks back at the model airplane. People,Someone looks back at the model airplane.,People,gen,are sitting on the platform next to the bushes with trim.,talk on the phone.,looks in fighters over.,view the densely packed hydra.,1
1483,lsmdc1009_Spider-Man3-76222,13709,"It's someone, now transformed into someone. Someone","It's someone, now transformed into someone.",Someone,gen,stands stiffly facing the enemy.,buries his face against his hand.,has the collar around her dark silk hair.,finds someone's apartment empty.,1
18321,lsmdc0038_Psycho-67224,14772,"He is someone, somewhere in his late twenties, thin and tall, soft - spoken and hesitant. He","He is someone, somewhere in his late twenties, thin and tall, soft - spoken and hesitant.",He,gold,"has a mug silhouetted against the bar, separating it from his nose.","is behind the counter now, pushing forward the registration book.",has an open - tatty white cloth.,is clicking off of rocks.,1
51872,lsmdc3019_COLOMBIANA-9012,13074,Her computer runs the photo through a database. Someone,Her computer runs the photo through a database.,Someone,gen,'s coat is moored.,grabs a yellow ring.,sits down beside someone.,ultimately scenes of film events indoors.,2
45504,lsmdc1045_An_education-90354,14749,Her parents study her as she reads it. She,Her parents study her as she reads it.,She,gold,encounters the broken bookshelf.,brings and pets someone across the mouth.,puts the envelope down and leaves the kitchen.,"steps away, then cries back to him, wrapping his arms around her.",2
32742,anetv_P0N68OQDhNs,13759,The man jumps multiple times and goes further each jump. The man,The man jumps multiple times and goes further each jump.,The man,gold,breezes and jumps over other chinese cheers.,lets the javelin throw by.,attempts again roping the rope and lands on it.,bends down and touches the ground while twisting.,3
18109,anetv_5-vAXCUN8X0,11078,Teams of athletes line up out of the pool. Teams,Teams of athletes line up out of the pool.,Teams,gold,are playing court soccer.,play a game of water polo passing and shooting the ball at the goal.,are running and hit a field on an indoor field.,compete in the rolling game.,1
20094,anetv_CQvmcZSfyhI,13077,"Doing the middle of the routine, half of the girls sit in the back behind the rest of the cheerleaders as they do a part of the routine. The routine ends and they all","Doing the middle of the routine, half of the girls sit in the back behind the rest of the cheerleaders as they do a part of the routine.",The routine ends and they all,gen,take turns doing several flips and turns to start the routine.,jump and kick as fast as they can.,sit around and end by watching as the instructor breaks off the mat talking or a male dressed in dressed.,"enter their sides, statues and judges sitting on stage, waving their fingers.",0
51883,lsmdc3019_COLOMBIANA-9012,13075,Someone hangs up then glances outside at his friend. He,Someone hangs up then glances outside at his friend.,He,gold,watches his alien hand from a decanter.,"passes someone's window, and moves back to someone.",sets the cellphone back on the table.,"gazes after her, then turns and follows her out.",2
56996,anetv_FSe9tVYHgBc,5782,Two men in red suits jump off of the bridge together. The people on the bridge,Two men in red suits jump off of the bridge together.,The people on the bridge,gold,cheer on the jumpers.,begin dancing around tubes.,are talking around the chamber.,go face to face.,0
11922,lsmdc3064_SPARKLE_2012-4415,16668,"Later with her arms folded, someone paces in the lobby of an apartment building. Someone comes downstairs, and a cigar smoking building manager","Later with her arms folded, someone paces in the lobby of an apartment building.","Someone comes downstairs, and a cigar smoking building manager",gen,holds up her hand.,moves into the bathroom with a large white print logo that leads with a message left on the side.,goes down in the darkened apartment.,"enters, lost in thought.",3
49590,lsmdc0049_Hannah_and_her_sisters-69040,4978,Someone hangs up the phone. He pants and,Someone hangs up the phone.,He pants and,gold,begins to pace around the room.,aims them at an old man.,takes a hip cap.,hands him the script.,0
46474,anetv_uINj6L2EEUs,14858,Two athletes enter through a hallway then place boards into a log to stand on while chopping it down. Athletes,Two athletes enter through a hallway then place boards into a log to stand on while chopping it down.,Athletes,gold,lay spackling as a bullet lassoes the charge off while two girls attempt to arm wrestle.,begin a series of many and slow motion as they watch.,enter a round where they are then let out another bowl of icons and the same assist showing off some cooking.,compete in a chainsaw competition and saw through large logs before congratulating each other.,3
12282,anetv_qoS5nkk7Rgk,9145,"There's a lady dog groomer wearing a black coat, grooming a golden retriever. There","There's a lady dog groomer wearing a black coat, grooming a golden retriever.",There,gold,peels a bowl in the snow and puts it.,is geared up holding the rope carrying the mop.,see the lady mowing around the driveway.,"'s another lady in a blue shirt standing with a teenage girl, also grooming a golden retriever.",3
68862,lsmdc1044_Pride_And_Prejudice_Disk_Two-89540,8045,"At the door, someone turns. Someone","At the door, someone turns.",Someone,gen,leaves a short distance away.,leans toward someone's brother.,rushes to the front door and steps inside.,"rushes off, narrowly missing the other player.",2
50782,anetv_J__1J4MmH4w,18114,Men are standing under a tent receiving a man. man,Men are standing under a tent receiving a man.,man,gold,is being tortured by the bull.,is sitting on a dock talking to a man.,is talking to the camera with a tv behind him.,talks on the croquet field.,2
61082,lsmdc1043_Vantage_Point-89171,1486,"Someone heads after them, filming as he goes. Someone","Someone heads after them, filming as he goes.",Someone,gold,"sits back, switches on his phone.","gives him a quick glance to hide his disdain, and heads off.",dashes into a gated stone building.,throws it on the ground.,2
14854,lsmdc0021_Rear_Window-58244,9623,"We now observe that two small lit candles adorn the table, and the rest of the room lights are out. The brightness drains from someone's face, and she","We now observe that two small lit candles adorn the table, and the rest of the room lights are out.","The brightness drains from someone's face, and she",gold,stares deeply into her eyes.,lowers her eyes slowly toward the table.,"begins to cry, then her light smokes, locked in a tiny heap and tenses.","does herself as if usual reflection ceases, then turns and walks away.",1
45200,lsmdc1014_2012-79432,5453,Someone watches the screen on board his ark. Someone,Someone watches the screen on board his ark.,Someone,gold,spreads a box next to the statue.,shakes his head at someone.,"turns to a sailor, carrying a gurney from a motor boat.",frowns then turns to someone.,1
49519,anetv_PCTqA_ov8RA,4462,"The bald guy tries two skis while being pulled, retreats and switches to a scooter. A long montage of different items","The bald guy tries two skis while being pulled, retreats and switches to a scooter.",A long montage of different items,gen,associated with the captions appear on the screen.,is shown making footage of the women holding a pole at the end.,is shown and the camera fades with a man appearing and is interviewed by a young man using the mirror.,plays while precariously along the net.,0
21370,anetv_j7Tk8I_DCtw,6058,The young boy is blowing his bagpipe a his fingers press the pole. The people,The young boy is blowing his bagpipe a his fingers press the pole.,The people,gold,continue competing in a game of sand together as gleaming lawn soccer teams still hit the players.,"continue to play the horses and later, we see the man on the ground in white and talks to the game.",initially ends with the man jumping to the ground and how to take the mic to get the wind off.,are passing by as the boy play the bag pipe.,3
13656,anetv_CKjHXMoXye4,15347,The man opened the door and got surprised then he closed the door. A male athlete run and,The man opened the door and got surprised then he closed the door.,A male athlete run and,gold,do a high jump over the pole.,then blond while walking to the front of the building and in peace with the cross.,turns to a large bull chasing a man in the hand.,run off the scythe.,0
66885,anetv_fhXVqPPDjN8,19336,A man is seen dancing in a nightclub with two women around him. The three,A man is seen dancing in a nightclub with two women around him.,The three,gold,continue to dance in the same studio.,continue to talk to the camera and show everyone sitting.,continue dancing with one another while others dance on the side.,men move down the passageway to the room until he reaches the other side.,2
5020,anetv_Mk9n7isIyBs,8588,She turns her entire body around as she twirls the batons. She,She turns her entire body around as she twirls the batons.,She,gold,finally bows down and holds the baton straight in her hand.,puts down her flute and takes another pen.,pulls back up onto the bar.,pins the ball up her palm.,0
72053,anetv_tY6UFSLtIoE,2761,A man stops in front of the camera and shows the back of his shirt before turning to talk to the camera. The man,A man stops in front of the camera and shows the back of his shirt before turning to talk to the camera.,The man,gen,finishes the piercing and finishes the eye.,struggles into the car and puts the tire on in his car.,shows off his shoes while speaking to the camera again.,is drying his hair with an electric razor.,2
22424,anetv_qfb0Qe7s9oo,18241,Two jars of liquid appear. The woman,Two jars of liquid appear.,The woman,gold,places the cake on the table and pours a drink.,takes a sip of the liquid.,mixes the drink together and pours it into a glass.,share a glass with liquid on the table.,1
50999,lsmdc1035_The_Adjustment_Bureau-86071,5863,"Holding someone tight, someone nearly lifts her off her feet. The intervention officers","Holding someone tight, someone nearly lifts her off her feet.",The intervention officers,gold,on her shoulders carry her to safety.,"stand motionless, looking on stoically as the lovers cling to each other.","sit on the balcony, then follow the three with the small structure.",stop in mid breeze.,1
31491,lsmdc0026_The_Big_Fish-62466,18476,Even someone is a little affected. Someone,Even someone is a little affected.,Someone,gold,leaps at him in the end.,"checks the mail, hoping for a letter from someone.",", afraid is carried away and looking puzzled, he is watching by someone, who is clearly understanding him.","can disappear, then.",1
13812,anetv_TAC-5hXVLPY,11623,A man is standing inside a gym. He,A man is standing inside a gym.,He,gen,is wearing an athletic athletic suit with wavy hair.,demonstrates how to successfully ski down a large concrete heighten hurdle.,is making a pool of exercise moves.,lifts a barbell up to his chest.,3
48400,anetv_AMMECm7Huhk,14208,The ingredients are added to a tub and scoops of ice cream are taken from a tub after freezing. A bowl,The ingredients are added to a tub and scoops of ice cream are taken from a tub after freezing.,A bowl,gold,is put in a spot of salt.,is then pouring into the cake with a arranging spatula.,is made from a jar.,is filled with ice cream.,3
